PROJNUM,Goal,OtherGoal,cfsSpecified
19970098,decrease erosion/stream sedimentation,,
19970098,decrease livestock access to stream,,
19970099,increase streambank stabilization/protection,,
19970099,decrease erosion/stream sedimentation,,
19970099,decrease livestock access to stream,,
19970100,improve/increase fish passage,,
19970100,improve/increase stream spawning habitat,,
19970100,improve/increase stream rearing habitat,,
19970100,improve/increase stream refuge cover,,
19970100,increase future LWD recruitment to stream,,
19970100,decrease erosion/stream sedimentation,,
19970100,increase road/upslope drainage,,
19970101,improve/increase stream rearing habitat,,
19970101,improve/increase stream over-winter habitat,,
19970101,improve/increase stream summer habitat,,
19970102,improve/increase stream gravel recruitment,,
19970102,improve/increase stream rearing habitat,,
19970102,improve/increase stream over-winter habitat,,
19970102,other,trap organic matter,
19970105,improve/increase stream off-channel habitat,,
19970105,improve/increase stream over-winter habitat,,
19970108,increase future LWD recruitment to stream,,
19970112,improve/increase stream structure & complexity,,
19970112,improve/increase stream pools,,
19970112,improve/increase stream off-channel habitat,,
19970112,increase future LWD recruitment to stream,,
19970113,improve/increase stream structure & complexity,,
19970113,improve/increase stream pools,,
19970113,increase streambank stabilization/protection,,
19970113,decrease livestock access to stream,,
19970123,improve/increase stream structure & complexity,,
19970123,increase future LWD recruitment to stream,,
19970123,other,convert alder riparian area to conifer,
19970124,increase future LWD recruitment to stream,,
19970124,increase future stream shading/increase vegetation to provide shade,,
19970124,increase streambank stabilization/protection,,
19970124,other,studies/research,
19970125,increase future stream shading/increase vegetation to provide shade,,
19970127,increase future stream shading/increase vegetation to provide shade,,
19970127,decrease stream temperature,,
19970129,improve/increase stream structure & complexity,,
19970129,increase future LWD recruitment to stream,,
19970129,increase future stream shading/increase vegetation to provide shade,,
19970133,increase future LWD recruitment to stream,,
19970133,decrease stream temperature,,
19970134,increase future LWD recruitment to stream,,
19970134,decrease stream temperature,,
19970136,other,enhance riparian area,
19970137,increase future LWD recruitment to stream,,
19970137,increase future stream shading/increase vegetation to provide shade,,
19970138,increase future LWD recruitment to stream,,
19970139,increase future LWD recruitment to stream,,
19970139,increase future stream shading/increase vegetation to provide shade,,
19970142,improve/increase stream flow,,
19970142,improve/increase stream rearing habitat,,
19970142,improve/increase stream off-channel habitat,,
19970142,increase future stream shading/increase vegetation to provide shade,,
19970142,"increase nutrient input to stream (e.g. plant material, salmon carcasses)",,
19970142,decrease stream temperature,,
19970143,improve/increase fish passage,,
19970144,improve/increase stream structure & complexity,,
19970144,other,improve instream habitat,
19970145,increase streambank stabilization/protection,,
19970145,decrease erosion/stream sedimentation,,
19970146,increase streambank stabilization/protection,,
19970146,decrease erosion/stream sedimentation,,
19970237,improve/increase stream structure & complexity,,
19970246,increase future LWD recruitment to stream,,
19970246,increase streambank stabilization/protection,,
19970246,decrease livestock access to stream,,
19970255,increase future LWD recruitment to stream,,
19970255,increase streambank stabilization/protection,,
19970255,decrease livestock access to stream,,
19970257,increase future LWD recruitment to stream,,
19970257,increase streambank stabilization/protection,,
19970257,decrease livestock access to stream,,
19970397,improve/increase stream structure & complexity,,
19970398,improve/increase stream structure & complexity,,
19970399,improve/increase stream structure & complexity,,
19970400,improve/increase stream structure & complexity,,
19970401,increase future LWD recruitment to stream,,
19970401,increase future stream shading/increase vegetation to provide shade,,
19970401,decrease erosion/stream sedimentation,,
19970401,decrease stream temperature,,
19970401,"increase upslope stability (soil, road)",,
19970401,decrease road access,,
19970402,improve/increase stream rearing habitat,,
19970402,improve/increase stream over-winter habitat,,
19970402,improve/increase stream summer habitat,,
19970402,increase future LWD recruitment to stream,,
19970402,increase future stream shading/increase vegetation to provide shade,,
19970409,improve/increase fish passage,,
19970409,improve/increase stream over-winter habitat,,
19970410,improve/increase stream pools,,
19970411,improve/increase fish passage,,
19970413,improve/increase stream gravel recruitment,,
19970415,improve/increase stream spawning habitat,,
19970415,improve/increase stream rearing habitat,,
19970415,improve/increase stream pools,,
19970415,other,enhance food production and transport,
19970416,improve/increase stream structure & complexity,,
19970416,improve/increase stream gravel recruitment,,
19970416,improve/increase stream spawning habitat,,
19970416,improve/increase stream rearing habitat,,
19970416,improve/increase stream pools,,
19970416,increase streambank stabilization/protection,,
19970416,"increase nutrient input to stream (e.g. plant material, salmon carcasses)",,
19970416,decrease erosion/stream sedimentation,,
19970416,"increase upslope stability (soil, road)",,
19970416,decrease livestock access to stream,,
19970417,improve/increase stream structure & complexity,,
19970417,improve/increase fish passage,,
19970417,improve/increase stream rearing habitat,,
19970417,improve/increase stream off-channel habitat,,
19970417,increase future LWD recruitment to stream,,
19970418,improve/increase stream spawning habitat,,
19970418,improve/increase stream rearing habitat,,
19970418,improve/increase stream pools,,
19970418,other,enhance food production and transport,
19970419,improve/increase stream gravel recruitment,,
19970419,improve/increase stream refuge cover,,
19970419,increase future LWD recruitment to stream,,
19970419,"increase upslope stability (soil, road)",,
19970420,improve/increase stream gravel recruitment,,
19970420,improve/increase stream refuge cover,,
19970420,"increase upslope stability (soil, road)",,
19970421,improve/increase stream structure & complexity,,
19970421,improve/increase fish passage,,
19970421,increase future LWD recruitment to stream,,
19970421,increase streambank stabilization/protection,,
19970421,"increase upslope stability (soil, road)",,
19970421,decrease road access,,
19970422,improve/increase stream structure & complexity,,
19970422,improve/increase stream gravel recruitment,,
19970422,improve/increase stream over-winter habitat,,
19970422,improve/increase stream refuge cover,,
19970422,increase streambank stabilization/protection,,
19970422,education,,
19970422,other,"proposed educational component-interpretive signs for outreach & education for 250,000 visitors.",
19970423,improve/increase stream structure & complexity,,
19970423,increase future LWD recruitment to stream,,
19970423,increase future stream shading/increase vegetation to provide shade,,
19970423,increase streambank stabilization/protection,,
19970423,decrease erosion/stream sedimentation,,
19970424,improve/increase stream structure & complexity,,
19970425,improve/increase stream rearing habitat,,
19970425,improve/increase stream over-winter habitat,,
19970426,improve/increase stream gravel recruitment,,
19970426,improve/increase stream rearing habitat,,
19970426,improve/increase stream off-channel habitat,,
19970426,improve/increase stream over-winter habitat,,
19970427,improve/increase stream rearing habitat,,
19970427,improve/increase stream over-winter habitat,,
19970428,improve/increase stream rearing habitat,,
19970428,improve/increase stream over-winter habitat,,
19970429,improve/increase stream rearing habitat,,
19970429,improve/increase stream over-winter habitat,,
19970430,improve/increase stream rearing habitat,,
19970430,improve/increase stream over-winter habitat,,
19970430,increase future LWD recruitment to stream,,
19970430,increase future stream shading/increase vegetation to provide shade,,
19970430,increase streambank stabilization/protection,,
19970430,decrease erosion/stream sedimentation,,
19970430,decrease livestock access to stream,,
19970431,improve/increase stream rearing habitat,,
19970431,improve/increase stream over-winter habitat,,
19970431,improve/increase stream refuge cover,,
19970431,increase future LWD recruitment to stream,,
19970432,improve/increase stream gravel recruitment,,
19970432,improve/increase stream rearing habitat,,
19970432,improve/increase stream summer habitat,,
19970433,improve/increase stream gravel recruitment,,
19970434,improve/increase stream gravel recruitment,,
19970434,improve/increase fish passage,,
19970434,improve/increase stream over-winter habitat,,
19970436,improve/increase stream rearing habitat,,
19970436,improve/increase stream over-winter habitat,,
19970436,increase future stream shading/increase vegetation to provide shade,,
19970436,increase streambank stabilization/protection,,
19970436,decrease livestock access to stream,,
19970437,increase future LWD recruitment to stream,,
19970437,increase future stream shading/increase vegetation to provide shade,,
19970437,increase streambank stabilization/protection,,
19970437,decrease erosion/stream sedimentation,,
19970437,decrease livestock access to stream,,
19970438,increase streambank stabilization/protection,,
19970438,decrease livestock access to stream,,
19970439,increase future LWD recruitment to stream,,
19970439,increase future stream shading/increase vegetation to provide shade,,
19970439,increase streambank stabilization/protection,,
19970439,decrease erosion/stream sedimentation,,
19970439,decrease stream temperature,,
19970439,decrease livestock access to stream,,
19970440,improve/increase fish passage,,
19970440,improve/increase stream over-winter habitat,,
19970440,increase future LWD recruitment to stream,,
19970440,increase future stream shading/increase vegetation to provide shade,,
19970440,increase streambank stabilization/protection,,
19970440,decrease livestock access to stream,,
19970441,improve/increase fish passage,,
19970441,improve/increase stream rearing habitat,,
19970441,improve/increase stream over-winter habitat,,
19970441,increase future LWD recruitment to stream,,
19970441,increase future stream shading/increase vegetation to provide shade,,
19970441,increase streambank stabilization/protection,,
19970441,decrease livestock access to stream,,
19970442,improve/increase stream rearing habitat,,
19970442,improve/increase stream over-winter habitat,,
19970445,improve/increase stream rearing habitat,,
19970445,improve/increase stream pools,,
19970445,improve/increase stream over-winter habitat,,
19970445,improve/increase stream summer habitat,,
19970447,improve/increase stream structure & complexity,,
19970447,improve/increase stream pools,,
19970447,improve/increase stream slow water habitat,,
19970447,other,Slow bedload movement,
19970448,improve/increase stream structure & complexity,,
19970448,improve/increase stream pools,,
19970448,improve/increase stream off-channel habitat,,
19970448,improve/increase stream refuge cover,,
19970449,improve/increase stream structure & complexity,,
19970449,improve/increase stream rearing habitat,,
19970449,improve/increase stream off-channel habitat,,
19970449,improve/increase stream over-winter habitat,,
19970450,improve/increase stream rearing habitat,,
19970450,improve/increase stream off-channel habitat,,
19970450,improve/increase stream over-winter habitat,,
19970450,improve/increase stream summer habitat,,
19970452,improve/increase stream structure & complexity,,
19970452,improve/increase stream off-channel habitat,,
19970452,improve/increase stream over-winter habitat,,
19970453,improve/increase stream structure & complexity,,
19970453,improve/increase stream gravel recruitment,,
19970453,improve/increase stream rearing habitat,,
19970453,improve/increase stream pools,,
19970453,improve/increase stream over-winter habitat,,
19970453,improve/increase stream slow water habitat,,
19970453,improve/increase stream refuge cover,,
19970454,improve/increase stream structure & complexity,,
19970454,improve/increase stream gravel recruitment,,
19970454,improve/increase stream rearing habitat,,
19970454,improve/increase stream pools,,
19970454,improve/increase stream over-winter habitat,,
19970454,improve/increase stream slow water habitat,,
19970454,improve/increase stream refuge cover,,
19970454,"increase upslope stability (soil, road)",,
19970455,improve/increase stream structure & complexity,,
19970456,improve/increase stream structure & complexity,,
19970456,improve/increase stream pools,,
19970456,improve/increase stream off-channel habitat,,
19970456,improve/increase stream over-winter habitat,,
19970456,improve/increase stream refuge cover,,
19970456,increase road/upslope drainage,,
19970457,improve/increase stream structure & complexity,,
19970468,improve/increase stream structure & complexity,,
19970468,improve/increase stream gravel recruitment,,
19970468,improve/increase stream rearing habitat,,
19970468,improve/increase stream pools,,
19970468,improve/increase stream slow water habitat,,
19970468,improve/increase stream refuge cover,,
19970469,improve/increase stream structure & complexity,,
19970470,improve/increase stream structure & complexity,,
19970471,improve/increase stream off-channel habitat,,
19970471,improve/increase stream over-winter habitat,,
19970472,improve/increase stream structure & complexity,,
19970472,improve/increase stream pools,,
19970472,improve/increase stream over-winter habitat,,
19970472,increase future LWD recruitment to stream,,
19970473,improve/increase stream structure & complexity,,
19970474,improve/increase stream structure & complexity,,
19970474,improve/increase stream rearing habitat,,
19970474,improve/increase stream refuge cover,,
19970476,improve/increase stream structure & complexity,,
19970476,improve/increase stream gravel recruitment,,
19970476,improve/increase stream pools,,
19970476,improve/increase stream refuge cover,,
19970476,increase streambank stabilization/protection,,
19970476,other,slow down water velocities,
19970481,improve/increase stream structure & complexity,,
19970481,improve/increase stream pools,,
19970484,improve/increase stream refuge cover,,
19970484,"increase nutrient input to stream (e.g. plant material, salmon carcasses)",,
19970484,decrease erosion/stream sedimentation,,
19970484,decrease stream temperature,,
19970488,increase streambank stabilization/protection,,
19970488,decrease erosion/stream sedimentation,,
19970488,decrease run-off contaminant input,,
19970488,"increase upslope stability (soil, road)",,
19970488,increase road/upslope drainage,,
19970488,decrease road access,,
19970488,decrease livestock access to stream,,
19970489,increase streambank stabilization/protection,,
19970489,decrease erosion/stream sedimentation,,
19970489,decrease run-off contaminant input,,
19970489,"increase upslope stability (soil, road)",,
19970489,increase road/upslope drainage,,
19970489,decrease road access,,
19970489,decrease livestock access to stream,,
19970490,increase streambank stabilization/protection,,
19970490,decrease erosion/stream sedimentation,,
19970490,decrease run-off contaminant input,,
19970490,"increase upslope stability (soil, road)",,
19970490,increase road/upslope drainage,,
19970490,decrease road access,,
19970490,decrease livestock access to stream,,
19970492,increase streambank stabilization/protection,,
19970492,decrease erosion/stream sedimentation,,
19970492,decrease run-off contaminant input,,
19970492,"increase upslope stability (soil, road)",,
19970492,increase road/upslope drainage,,
19970492,decrease road access,,
19970492,decrease livestock access to stream,,
19970493,decrease erosion/stream sedimentation,,
19970493,decrease run-off contaminant input,,
19970493,"increase upslope stability (soil, road)",,
19970493,increase road/upslope drainage,,
19970495,improve/increase stream structure & complexity,,
19970495,improve/increase fish passage,,
19970495,improve/increase stream spawning habitat,,
19970495,improve/increase stream rearing habitat,,
19970495,improve/increase stream pools,,
19970495,increase streambank stabilization/protection,,
19970497,improve/increase stream structure & complexity,,
19970519,improve/increase stream gravel recruitment,,
19970519,improve/increase stream pools,,
19970519,improve/increase stream slow water habitat,,
19970520,improve/increase stream gravel recruitment,,
19970520,improve/increase stream rearing habitat,,
19970520,improve/increase stream pools,,
19970520,improve/increase stream slow water habitat,,
19970521,improve/increase stream structure & complexity,,
19970521,improve/increase stream pools,,
19970521,improve/increase stream slow water habitat,,
19970522,improve/increase stream structure & complexity,,
19970523,improve/increase stream gravel recruitment,,
19970523,improve/increase fish passage,,
19970523,improve/increase stream pools,,
19970523,increase streambank stabilization/protection,,
19970523,"increase upslope stability (soil, road)",,
19970525,decrease erosion/stream sedimentation,,
19970526,decrease erosion/stream sedimentation,,
19970526,"increase upslope stability (soil, road)",,
19970526,improve flood/slide repair,,
19970527,decrease erosion/stream sedimentation,,
19970527,"increase upslope stability (soil, road)",,
19970528,decrease erosion/stream sedimentation,,
19970528,"increase upslope stability (soil, road)",,
19970529,improve/increase fish passage,,
19970531,increase future LWD recruitment to stream,,
19970532,improve/increase stream gravel recruitment,,
19970532,improve/increase stream pools,,
19970534,improve/increase stream gravel recruitment,,
19970535,improve/increase stream structure & complexity,,
19970535,improve/increase stream pools,,
19970536,improve/increase stream structure & complexity,,
19970536,improve/increase stream gravel recruitment,,
19970536,improve/increase stream pools,,
19970538,improve/increase stream structure & complexity,,
19970544,improve/increase stream refuge cover,,
19970545,increase streambank stabilization/protection,,
19970545,decrease erosion/stream sedimentation,,
19970547,improve/increase fish passage,,
19970549,improve/increase fish passage,,
19970550,improve/increase stream structure & complexity,,
19970550,improve/increase stream refuge cover,,
19970552,improve/increase stream gravel recruitment,,
19970552,improve/increase fish passage,,
19970552,improve flood/slide repair,,
19970553,improve/increase stream gravel recruitment,,
19970553,improve/increase stream pools,,
19970553,improve/increase stream over-winter habitat,,
19970554,improve/increase stream structure & complexity,,
19970554,improve/increase fish passage,,
19970554,improve/increase stream spawning habitat,,
19970556,improve/increase stream structure & complexity,,
19970556,improve/increase stream over-winter habitat,,
19970556,improve/increase stream slow water habitat,,
19970556,improve/increase stream refuge cover,,
19970557,improve/increase stream structure & complexity,,
19970557,improve/increase stream over-winter habitat,,
19970557,improve/increase stream slow water habitat,,
19970557,improve/increase stream refuge cover,,
19970561,increase future LWD recruitment to stream,,
19970561,increase future stream shading/increase vegetation to provide shade,,
19970561,increase streambank stabilization/protection,,
19970561,decrease erosion/stream sedimentation,,
19970561,decrease livestock access to stream,,
19970562,improve/increase fish passage,,
19970562,increase future LWD recruitment to stream,,
19970562,increase future stream shading/increase vegetation to provide shade,,
19970562,increase streambank stabilization/protection,,
19970562,decrease erosion/stream sedimentation,,
19970562,decrease road access,,
19970562,decrease livestock access to stream,,
19970563,increase future LWD recruitment to stream,,
19970563,increase future stream shading/increase vegetation to provide shade,,
19970563,increase streambank stabilization/protection,,
19970563,"increase upslope stability (soil, road)",,
19970564,improve/increase fish passage,,
19970564,increase streambank stabilization/protection,,
19970564,decrease erosion/stream sedimentation,,
19970564,"increase upslope stability (soil, road)",,
19970564,increase road/upslope drainage,,
19970565,improve/increase stream structure & complexity,,
19970566,improve/increase stream structure & complexity,,
19970566,improve/increase stream pools,,
19970569,improve/increase fish passage,,
19970570,improve/increase stream structure & complexity,,
19970570,improve/increase stream pools,,
19970570,improve/increase stream off-channel habitat,,
19970571,improve/increase stream structure & complexity,,
19970571,improve/increase stream pools,,
19970572,improve/increase stream off-channel habitat,,
19970573,improve/increase stream structure & complexity,,
19970575,improve/increase stream structure & complexity,,
19970575,improve/increase stream refuge cover,,
19970575,"increase nutrient input to stream (e.g. plant material, salmon carcasses)",,
19970577,improve/increase stream rearing habitat,,
19970577,improve/increase stream over-winter habitat,,
19970577,improve/increase stream summer habitat,,
19970577,improve/increase stream refuge cover,,
19970578,improve/increase stream structure & complexity,,
19970578,improve/increase stream rearing habitat,,
19970581,improve/increase stream structure & complexity,,
19970581,improve/increase stream rearing habitat,,
19970581,improve/increase stream pools,,
19970581,improve/increase stream off-channel habitat,,
19970581,improve/increase stream over-winter habitat,,
19970581,improve/increase stream refuge cover,,
19970581,increase streambank stabilization/protection,,
19970582,improve/increase fish passage,,
19970583,improve/increase stream structure & complexity,,
19970583,improve/increase stream over-winter habitat,,
19970583,improve/increase stream summer habitat,,
19970584,improve/increase stream structure & complexity,,
19970584,improve/increase stream rearing habitat,,
19970584,improve/increase stream summer habitat,,
19970584,increase future LWD recruitment to stream,,
19970607,improve/increase stream structure & complexity,,
19970607,improve/increase stream over-winter habitat,,
19970607,increase future LWD recruitment to stream,,
19970607,increase future stream shading/increase vegetation to provide shade,,
19970607,decrease erosion/stream sedimentation,,
19970607,"increase upslope stability (soil, road)",,
19970608,improve/increase stream gravel recruitment,,
19970608,improve/increase fish passage,,
19970608,improve/increase stream rearing habitat,,
19970608,improve/increase stream over-winter habitat,,
19970608,increase future LWD recruitment to stream,,
19970608,increase future stream shading/increase vegetation to provide shade,,
19970608,decrease erosion/stream sedimentation,,
19970609,improve/increase stream structure & complexity,,
19970609,improve/increase stream over-winter habitat,,
19970609,increase future LWD recruitment to stream,,
19970609,decrease erosion/stream sedimentation,,
19970617,increase future LWD recruitment to stream,,
