PermitID,PROJNUM,ProjectID,PermitTypeLUID,PermitType,PermitNumber,PermitDescriptor,Remark
7021,19970947,522,2,ODF,96-521-11595,,
7022,19970948,523,2,ODF,97-521-11014,,
7023,19970949,524,2,ODF,97-521-11051,,
7024,19970950,525,2,ODF,97-521-11057,,
7025,19970951,526,2,ODF,97-521-11108,,
7026,19970952,527,2,ODF,96-521-11230,,
7027,19970953,528,2,ODF,96-521-11039,,
7028,19970954,529,2,ODF,96-521-11151,,
7029,19970955,530,2,ODF,96-521-11292,,
7030,19970956,531,2,ODF,96-511-15055,,
7031,19970957,532,2,ODF,96-521-11310,,
7032,19970958,533,2,ODF,96-521-11232,,
7033,19970959,534,2,ODF,96-521-11233,,
7034,19970960,535,2,ODF,96-521-11310,,
7035,19970961,536,2,ODF,96-511-15246,,
7036,19970962,537,2,ODF,96-521-11352,,
7037,19970963,538,2,ODF,95-521-11117,,
7038,19970964,539,2,ODF,95-521-11302,,
7039,19970965,540,2,ODF,95-512-11452,,
7040,19970966,541,2,ODF,95-521-11033,,
7041,19970967,542,2,ODF,95-521-11116,,
5,19971023,595,2,ODF,97-61-618,,
7084,19971137,703,2,ODF,96-740-61314,,
7085,19971234,789,2,ODF,97-730-70890,,
7086,19971235,790,2,ODF,97-712-78630,,
7087,19971238,793,2,ODF,97-712-78566,,
7088,19971239,794,2,ODF,97-711-75438,,
7089,19971240,795,2,ODF,97-711-75474,,
7090,19971241,796,2,ODF,96-711-75551,,
7091,19971242,797,2,ODF,96-711-75479 (1),,
7092,19971243,798,2,ODF,96-711-75479 (2),,
7093,19971246,801,2,ODF,96-711-75479 (3),,
7094,19971248,803,2,ODF,97-532-25211,,
7095,19971250,805,2,ODF,97-532-25935,,
7078,19971301,852,2,ODF,97-551-34547,,
7079,19971302,853,2,ODF,97-551-34305,,
7080,19971303,854,2,ODF,97-551-34670,,
7068,19971304,855,2,ODF,97-553-37375,,
7096,19971311,862,2,ODF,96-730-70943,,
7097,19971313,864,2,ODF,96-730-71221,,
7098,19971420,941,2,ODF,97-781-50982,,
7099,19971447,967,2,ODF,97-711-75084,,
7100,19971451,970,2,ODF,97-711-75153,,
7101,19971586,1100,2,ODF,96-531-21597,,
7102,19971590,1104,2,ODF,97-531-20952,,
7103,19971591,1105,2,ODF,97-531-21022,,
7104,19971606,1120,2,ODF,97-781-51335,,
7105,19971607,1121,2,ODF,97-781-50427,,
6,19980004,1377,1,DSL,15205,GA,
7,19980017,1390,1,DSL,15523,GA,
8,19980020,1393,1,DSL,10955,GA,
9,19980021,1394,1,DSL,14668,GA,
10,19980024,1397,1,DSL,14386,GA,
11,19980025,1398,1,DSL,14390,GA,
12,19980026,1399,1,DSL,15304,GA,
13,19980027,1400,1,DSL,15302,GA,
14,19980028,1401,1,DSL,15301,GA,
15,19980029,1402,1,DSL,15303,GA,
16,19980030,1403,1,DSL,15300,GA,
17,19980041,1414,1,DSL,14283,GA,
18,19980045,1418,1,DSL,14658,GA,
19,19980080,1446,1,DSL,98-444 type 404,,
23,19980125,1491,1,DSL,14321,GA,
24,19980126,1492,1,DSL,14321,GA,
29,19980131,1497,1,DSL,14322,GA,
31,19980133,1499,1,DSL,15243,GA,
32,19980134,1500,1,DSL,14317,GA,
33,19980135,1501,1,DSL,15504,GA,
17368,19980170,1536,2,ODF,97-740-61401,,
34,19980174,1540,1,DSL,15520,GA,
35,19980175,1541,1,DSL,15584,GA,
36,19980176,1542,1,DSL,15584,GA,
37,19980177,1543,1,DSL,15552,GA,
38,19980178,1544,1,DSL,15835,GA,
39,19980180,1546,1,DSL,15391,GA,
40,19980181,1547,1,DSL,15391,GA,
41,19980183,1549,1,DSL,15298,GA,
42,19980186,1552,2,ODF,97-781-51251,,
7106,19980197,1563,2,ODF,98-740-60674,,
43,19980243,1609,1,DSL,number not reported,GA,Gen. Authorization Permit
44,19980283,1649,1,DSL,10100,GA,
45,19980286,1651,1,DSL,15971,GA,
46,19980287,1652,1,DSL,13829,GA,
47,19980288,1653,1,DSL,13835,GA,
48,19980289,1654,1,DSL,15261,GA,
49,19980290,1655,1,DSL,15260,GA,
50,19980291,1656,1,DSL,15338,GA,
51,19980296,1660,1,DSL,8739,GA,Why is it only 4 digits?
52,19980296,1660,1,DSL,10290,GA,
53,19980297,1661,1,DSL,8378,,
56,19980300,1664,1,DSL,14487-90,GA,
57,19980300,1664,1,DSL,15966,GA,
58,19980303,1667,1,DSL,15898,GA,
7107,19980454,1816,2,ODF,98-711-75297,,
7108,19980455,1817,2,ODF,98-711-75297,,
7109,19980456,1818,2,ODF,98-711-75297,,
7110,19980457,1819,2,ODF,98-711-75297,,
7111,19980458,1820,2,ODF,98-711-75297,,
7112,19980459,1821,2,ODF,98-711-75297,,
7113,19980460,1822,2,ODF,98-711-75297,,
60,19980483,1844,1,DSL,15383,GA,
63,19980502,1861,1,DSL,15214,GA,
65,19980564,1923,2,ODF,98-43102,,
66,19980800,2122,1,DSL,97-562-43320,,
67,19980829,2150,1,DSL,15441,GA,
68,19980863,2183,1,DSL,152169,GA,Why is this 6 digits?
69,19980864,2184,1,DSL,15206,GA,
70,19980865,2185,1,DSL,15207,GA,
71,19980866,2186,1,DSL,15213,GA,
72,19980868,2188,1,DSL,15204,GA,
73,19980871,2191,1,DSL,15221,GA,
74,19980872,2192,1,DSL,15215,GA,
75,19980873,2193,1,DSL,15220,GA,
76,19980880,2197,1,DSL,14148,GA,
77,19980881,2198,1,DSL,15210,GA,
78,19980882,2199,1,DSL,15211,GA,
79,19980883,2200,1,DSL,15212,GA,
80,19980884,2201,1,DSL,15216,GA,
81,19980885,2202,1,DSL,15222,GA,
82,19980887,2204,1,DSL,15208,GA,
83,19980888,2205,1,DSL,15209,GA,
7069,19980894,2211,2,ODF,97-553-37937,,
7070,19980898,2215,2,ODF,97-551-34760,,
85,19980943,2260,1,DSL,13637,GA,
86,19980944,2261,1,DSL,11302,GA,
87,19980944,2261,1,DSL,14955,GA,
88,19980945,2262,1,DSL,13636,GA,
89,19980946,2263,1,DSL,13696,GA,
90,19980947,2264,1,DSL,14966,GA,
91,19980948,2265,1,DSL,14967,GA,
92,19980949,2266,1,DSL,14964,GA,
93,19980950,2267,1,DSL,11302,GA,
94,19980951,2268,1,DSL,14838,GA,
95,19980955,2272,1,DSL,15337,RP,
6804,19980959,2276,1,DSL,15575,GA,
96,19980960,2277,1,DSL,15862,GA,
7114,19980982,2299,2,ODF,98-781-50537,,
7127,19981066,2378,2,ODF,97-730-70024,,
98,19981080,2392,1,DSL,13120,GA,
99,19981088,2400,1,DSL,13452,GA,
100,19981088,2400,1,DSL,13453,SP,
101,19981101,2413,1,DSL,13438,,
102,19981102,2414,1,DSL,15238,GA,
7115,19981150,2461,2,ODF,98-740-60081,,
105,19990015,2536,2,ODF,99-781-50041,,
104,19990015,2536,2,ODF,99-781-50005,,
106,19990016,2537,2,ODF,99-730-70032,,activity_type 3 & 4
108,19990017,2538,2,ODF,99-781-50514,,
109,19990017,2538,2,ODF,99-781-50479,,
110,19990017,2538,2,ODF,99-781-50419,,
111,19990018,2539,2,ODF,99-551-34004,,
112,19990019,2540,2,ODF,99-791-40414,,
113,19990020,2541,1,DSL,17294,GA,
114,19990021,2542,1,DSL,18279,GA,
115,19990022,2543,1,DSL,17309,GA,
116,19990022,2543,1,DSL,17312,GA,
117,19990023,2544,2,ODF,99-60947,,
118,19990024,2545,2,ODF,99-60947,,
119,19990025,2546,1,DSL,17313,GA,
120,19990026,2547,1,DSL,17310,GA,
121,19990027,2548,1,DSL,17300,GA,
122,19990028,2549,1,DSL,17310,GA,
123,19990029,2550,1,DSL,17292,GA,
124,19990030,2551,1,DSL,18324,GA,
125,19990031,2552,2,ODF,99-61184,,
126,19990032,2553,2,ODF,98-61980,,
127,19990033,2554,1,DSL,17297,GA,
128,19990034,2555,1,DSL,17296,GA,
129,19990035,2556,1,DSL,17295,GA,
130,19990036,2557,2,ODF,99-61184,,
131,19990037,2558,2,ODF,99-61298,,
132,19990038,2559,2,ODF,99-61298,,
133,19990039,2560,2,ODF,99-740-612297,,
134,19990040,2561,1,DSL,10731,GA,
135,19990041,2562,1,DSL,16732,GA,
136,19990042,2563,1,DSL,17786,GA,activity_type 1 & 3 & 6
139,19990043,2564,1,DSL,17291,GA,
140,19990044,2565,1,DSL,14281,GA,
141,19990045,2566,1,DSL,14815,GA,activity_type 1 & 3
142,19990045,2566,1,DSL,15583,GA,activity_type 1 & 3
146,19990046,2567,1,DSL,15858,GA,activity_type 1 & 3
145,19990046,2567,1,DSL,15859,GA,
148,19990047,2568,1,DSL,17011,GA,
149,19990049,2570,1,DSL,15600,GA,
150,19990065,2585,2,ODF,99-740-61032,,
151,19990067,2587,2,ODF,99-740-60246,,
152,19990071,2591,2,ODF,99-60533,,
155,19990071,2591,2,ODF,99-60530,,
153,19990071,2591,2,ODF,99-60531,,
154,19990071,2591,2,ODF,99-60532,,
156,19990073,2593,2,ODF,99-60532,,
157,19990074,2594,2,ODF,99-740-61604,,
158,19990076,2596,2,ODF,99-740-60246,,
159,19990079,2599,2,ODF,99-740-61608,,
160,19990086,2606,2,ODF,99-740-60606,,
161,19990087,2607,2,ODF,99-740-61646,,
162,19990091,2611,2,ODF,99-740-60447,,
163,19990092,2612,2,ODF,99-740-61231,,
164,19990095,2615,2,ODF,99-740-60219,,
165,19990098,2618,2,ODF,99-60367,,
166,19990099,2619,2,ODF,99-61367,,
167,19990100,2620,2,ODF,99-740-60315,,
168,19990102,2622,2,ODF,99-740-61125,,
169,19990103,2623,2,ODF,99-740-61673,,
170,19990104,2624,2,ODF,99-740-60684,,
171,19990105,2625,2,ODF,99-61490,,
172,19990106,2626,2,ODF,99-740-61491,,
173,19990107,2627,2,ODF,99-740-61477,,
174,19990108,2628,2,ODF,99-740-60411,,
175,19990110,2630,2,ODF,99-740-60337,,
176,19990138,2658,1,DSL,15505,GA,
177,19990139,2659,1,DSL,15195,SP,
178,19990154,2674,2,ODF,99-740-60600,,
179,19990155,2675,1,DSL,15778,GA,
180,19990158,2678,2,ODF,99-711-75198,,
181,19990162,2682,1,DSL,17266,GA,
182,19990163,2683,2,ODF,99-730-70767,,
183,19990164,2684,1,DSL,17262,GA,
184,19990165,2685,1,DSL,17265,GA,
185,19990166,2686,1,DSL,17073,GA,
186,19990169,2689,1,DSL,17261,GA,
187,19990171,2691,1,DSL,17280,GA,
188,19990173,2693,1,DSL,17077,GA,
189,19990174,2694,2,ODF,99-730-70675,,
190,19990175,2695,1,DSL,18123,GA,
191,19990204,2724,2,ODF,98-781-51232,,
192,19990205,2725,2,ODF,99-781-50023,,
193,19990206,2726,2,ODF,99-781-50022,,
194,19990208,2728,2,ODF,99-781-50963,,
195,19990209,2729,2,ODF,99-781-50224,,
196,19990210,2730,2,ODF,99-781-50142,,
197,19990211,2731,2,ODF,99-781-50337,,
198,19990212,2732,2,ODF,99-781-50705,,
199,19990213,2733,2,ODF,99-781-50726,,
200,19990214,2734,2,ODF,99-781-50714,,
201,19990215,2735,2,ODF,99-781-50966,,
202,19990216,2736,2,ODF,99-781-51073,,
203,19990217,2737,2,ODF,99-781-51145,,
204,19990218,2738,2,ODF,99-781-51074,,
205,19990219,2739,2,ODF,99-781-51120,,
206,19990220,2740,2,ODF,99-781-50127,,
207,19990221,2741,2,ODF,99-781-50024,,
208,19990222,2742,2,ODF,99-781-50125,,
209,19990223,2743,2,ODF,99-781-50126,,
210,19990224,2744,2,ODF,99-781-50133,,
211,19990227,2747,2,ODF,99-781-50540,,
212,19990232,2752,2,ODF,99-34519,,
213,19990233,2753,2,ODF,99-37613,,
214,19990235,2755,1,DSL,17129,GA,
215,19990236,2756,1,DSL,17125,GA,
216,19990239,2759,1,DSL,17126,GA,
217,19990242,2762,1,DSL,17127,GA,
218,19990245,2765,1,DSL,17120,GA,
219,19990246,2766,1,DSL,17123,GA,
220,19990247,2767,1,DSL,17122,GA,
221,19990248,2768,1,DSL,17128,GA,
222,19990248,2768,2,ODF,98-51280,,
223,19990259,2779,2,ODF,99-532-25786,,
224,19990260,2780,2,ODF,99-532-25005,,
225,19990262,2782,2,ODF,99-521-11278,,
226,19990263,2783,2,ODF,99-521-11261,,
227,19990264,2784,2,ODF,99-521-11261,,
228,19990265,2785,2,ODF,99-521-11278,,
229,19990266,2786,2,ODF,99-521-11279,,
230,19990267,2787,2,ODF,99-521-11328,,
231,19990268,2788,2,ODF,99-511-15215,,
232,19990269,2789,2,ODF,99-521-11040,,
233,19990271,2791,2,ODF,99-521-11155,,
234,19990276,2796,2,ODF,99-521-11317,,
235,19990290,2810,1,DSL,16781,GA,
236,19990291,2811,1,DSL,16948,GA,
237,19990292,2812,1,DSL,16941,GA,
238,19990293,2813,1,DSL,16944,GA,
239,19990293,2813,1,DSL,16946,EA,"This was entered as ""EA"".  Is there an EA permit?"
240,19990294,2814,1,DSL,16943,GA,
241,19990295,2815,2,ODF,99-532-25867,,
242,19990296,2816,2,ODF,99-532-25895,,
243,19990298,2818,1,DSL,8741,GA,Why only 4 digits?
244,19990302,2822,2,ODF,99-532-25270,,
245,19990310,2830,2,ODF,98-551-34457,,
246,19990311,2831,2,ODF,99-551-34428,,
247,19990312,2832,2,ODF,99-34390,,
248,19990313,2833,2,ODF,99-34390,,
249,19990314,2834,2,ODF,99-34584,,
250,19990315,2835,2,ODF,99-551-34193,,
251,19990316,2836,2,ODF,99-34584,,
252,19990317,2837,2,ODF,98-551-34231,,
253,19990324,2844,2,ODF,99-591-47653,,
254,19990325,2845,2,ODF,99-591-47653,,
255,19990326,2846,1,DSL,17415,GA,
256,19990327,2847,2,ODF,98-591-47870,,
257,19990328,2848,1,DSL,17752,GA,
258,19990329,2849,1,DSL,17947,GA,
259,19990330,2850,1,DSL,17714,GA,
260,19990331,2851,1,DSL,17135,GA,
261,19990333,2853,1,DSL,15294,GA,
262,19990334,2854,1,DSL,17715,GA,
263,19990335,2855,1,DSL,17255,GA,
264,19990337,2857,1,DSL,15400,GA,
265,19990338,2858,1,DSL,15400,GA,
266,19990339,2859,1,DSL,15307,GA,
267,19990340,2860,1,DSL,16916,GA,
268,19990341,2861,1,DSL,17079,GA,
269,19990342,2862,1,DSL,15274,GA,
270,19990343,2863,1,DSL,17067,GA,
271,19990344,2864,1,DSL,17418,GA,
272,19990345,2865,1,DSL,16907,GA,
273,19990346,2866,1,DSL,15545,GA,
274,19990347,2867,1,DSL,15308,GA,
275,19990348,2868,1,DSL,14774,GA,
276,19990350,2870,1,DSL,15516,GA,
277,19990352,2872,2,ODF,99-591-47730,,
278,19990353,2873,2,ODF,99-591-47730,,
279,19990361,2881,2,ODF,99-791-40457,,
280,19990363,2883,2,ODF,98-45401,,
281,19990364,2884,2,ODF,98-45422,,
282,19990367,2887,2,ODF,99-592-45431,,
283,19990368,2888,2,ODF,99-792-43080,,
284,19990369,2889,2,ODF,97-792-43148,,activity_type 3 & 4
286,19990370,2890,2,ODF,99-792-43247,,
287,19990376,2896,1,DSL,99758,GA,
288,19990377,2897,1,DSL,99757,GA,
289,19990377,2897,1,DSL,99756,GA,
290,19990463,2983,1,DSL,17448,GA,
291,19990471,2991,2,ODF,99-954-54128,,
292,19990472,2992,2,ODF,99-954-84098,,
293,19990474,2994,2,ODF,99-84043,,
294,19990475,2995,2,ODF,99-84117,,
295,19990476,2996,2,ODF,99-84117,,
296,19990477,2997,2,ODF,99-973-86117,,
297,19990481,3001,2,ODF,98-973-86096,,
298,19990507,3027,1,DSL,16386,GA,
299,19990511,3031,2,ODF,141-089-0005,,
300,19990515,3035,2,ODF,99-740-61366,,
301,19990516,3036,2,ODF,99-730-70175,,
302,19990517,3037,1,DSL,16668,GA,
303,19990518,3038,1,DSL,16403,SP,
304,19990520,3040,1,DSL,15656,GA,activity_type 1 & 6
306,19990521,3041,2,ODF,99-30245,,
307,19990522,3042,2,ODF,99-20130,,
308,19990523,3043,2,ODF,99-20503,,activity_type 3 & 4
310,19990524,3044,2,ODF,99-20133,,
311,19990525,3045,2,ODF,99-20905,,
312,19990526,3046,2,ODF,99-20277,,
314,19990527,3047,2,ODF,99-20686,,
313,19990527,3047,2,ODF,99-20685,,
315,19990528,3048,2,ODF,98-20790,,
316,19990529,3049,2,ODF,99-20258,,
317,19990530,3050,2,ODF,98-20750,,
318,19990531,3051,2,ODF,531-20834,,
319,19990532,3052,2,ODF,531-20614,,
320,19990534,3054,2,ODF,99-791-40323,,
321,19990535,3055,2,ODF,99-551-34409,,
322,19990543,3063,2,ODF,99-43036,,activity_type 3 & 4
324,19990544,3064,2,ODF,98-43149,,
325,19990545,3065,2,ODF,99-43036,,
326,19990546,3066,2,ODF,99-791-40378,,
327,19990547,3067,2,ODF,99-47007,,activity_type 3 & 4
329,19990548,3068,2,ODF,99-43092,,activity_type 3 & 4
331,19990549,3069,2,ODF,99-4533,,
332,19990549,3069,2,ODF,99-47533,,
333,19990550,3070,2,ODF,98-43250,,activity_type 3 & 4
335,19990551,3071,2,ODF,99-43014,,
336,19990552,3072,2,ODF,99-43036,,
337,19990553,3073,2,ODF,99-47007,,
338,19990554,3074,2,ODF,99-47007,,
339,19990555,3075,2,ODF,99-47007,,
340,19990556,3076,2,ODF,99-43036,,
341,19990558,3078,2,ODF,99-30245,,
342,19990559,3079,2,ODF,99-30243,,
343,19990560,3080,2,ODF,99-20593,,
344,19990561,3081,2,ODF,99-30267,,
345,19990562,3082,2,ODF,99-20777,,
346,19990562,3082,2,ODF,99-20782,,
347,19990563,3083,2,ODF,99-20811,,
348,19990564,3084,2,ODF,99-30089,,
349,19990565,3085,2,ODF,99-30269,,
350,19990566,3086,2,ODF,99-20722,,
351,19990567,3087,2,ODF,99-20726,,
352,19990568,3088,2,ODF,98-30510,,
353,19990569,3089,2,ODF,99-30091,,
354,19990570,3090,2,ODF,99-34636,,
355,19990571,3091,2,ODF,99-552-30242,,
356,19990572,3092,2,ODF,552-30652,,
357,19990573,3093,2,ODF,552-30674,,
358,19990574,3094,2,ODF,552-30252,,
359,19990574,3094,2,ODF,552-30253,,
360,19990575,3095,2,ODF,552-30241,,
361,19990576,3096,2,ODF,98-20457,,
362,19990577,3097,2,ODF,531-20962,,
363,19990578,3098,2,ODF,99-552-30605,,
364,19990579,3099,2,ODF,552-30673,,
365,19990580,3100,2,ODF,99-552-30240,,
366,19990581,3101,2,ODF,98-40163,,
367,19990582,3102,2,ODF,98-40452,,
368,19990588,3108,2,ODF,99-43032,,activity_type 1 & 4
370,19990589,3109,2,ODF,97-45373,,
371,19990590,3110,1,DSL,10401,FP,
372,19990592,3112,2,ODF,99-771-55582,,
373,19990593,3113,2,ODF,99-781-50615,,
374,19990594,3114,2,ODF,98-55492,,
375,19990594,3114,2,ODF,98-55942,,
376,19990595,3115,2,ODF,99-55960,,activity_type 3 & 4
378,19990596,3116,2,ODF,99-771-55462,,activity_type 3 & 4
380,19990597,3117,2,ODF,99-771-55161,,activity_type 3 & 4
382,19990598,3118,2,ODF,99-781-50502,,
383,19990599,3119,2,ODF,99-771-55433,,
384,19990600,3120,2,ODF,99-771-55825,,
385,19990602,3122,2,ODF,99-771-55848,,
386,19990603,3123,2,ODF,99-771-55793,,
387,19990604,3124,2,ODF,98-55327,,
388,19990618,3138,2,ODF,99-730-71057,,
389,19990620,3140,2,ODF,99-740-60661,,
390,19990621,3141,2,ODF,99-730-70768,,
391,19990623,3143,2,ODF,99-730-70561,,
392,19990624,3144,2,ODF,99-74061261,,
393,19990627,3147,2,ODF,99-730-71029,,
394,19990628,3148,2,ODF,99-781-50951,,activity_type 3 & 4
396,19990648,3167,2,ODF,99-781-50648,,
397,19990649,3168,2,ODF,99-781-50492,,
398,19990650,3169,2,ODF,99-781-50067,,activity_type 2 & 4
400,19990651,3170,2,ODF,99-781-50037,,
401,19990652,3171,2,ODF,99-781-50702,,activity_type 2 & 3 & 4
404,19990653,3172,2,ODF,99-781-50701,,activity_type 2 & 4
406,19990654,3173,2,ODF,99-50101,,
407,19990661,3180,2,ODF,99-553-37524,,
408,19990662,3181,2,ODF,99-553-37113,,
409,19990667,3186,2,ODF,553-37281,,
410,19990668,3187,2,ODF,98-30577R,,
411,19990669,3188,2,ODF,553-37614,,
412,19990670,3189,2,ODF,99-511-15172,,
413,19990671,3190,2,ODF,99-511-15213,,
414,19990674,3193,2,ODF,99-511-15214,,
415,19990675,3194,2,ODF,99-511-15262,,
416,19990676,3195,2,ODF,99-511-15310,,
418,19990681,3200,2,ODF,531-20609,,activity_type 3 & 4
417,19990681,3200,2,ODF,531-20614,,activity_type 3 & 4
419,19990681,3200,2,ODF,531-20582,,activity_type 3 & 4
421,19990681,3200,2,ODF,511-15145,,activity_type 3 & 4
420,19990681,3200,2,ODF,531-20581,,activity_type 3 & 4
422,19990681,3200,2,ODF,511-15144,,activity_type 3 & 4
429,19990682,3201,2,ODF,99-511-15362,,
430,19990683,3202,2,ODF,99-511-15242,,
431,19990684,3203,2,ODF,99-511-15165,,
432,19990685,3204,2,ODF,99-511-15165,,
433,19990686,3205,2,ODF,99-15237,,activity_type 3 & 4
434,19990686,3205,2,ODF,99-511-15150,,
436,19990694,3213,2,ODF,99-521-11073,,
437,19990699,3218,2,ODF,99-11163,,
438,19990700,3219,2,ODF,98-11498,,
439,19990707,3226,2,ODF,99-11169,,
440,19990708,3227,2,ODF,98-11390,,
444,19990709,3228,2,ODF,99-521-11044,,
443,19990709,3228,2,ODF,99-521-11204,,
441,19990709,3228,2,ODF,99-521-11419,,
442,19990709,3228,2,ODF,99-511-15003,,
445,19990730,3249,1,DSL,15749,GA,
446,19990731,3250,1,DSL,13229,GA,
448,19990734,3253,2,ODF,99-954-84061,,
447,19990734,3253,2,ODF,99-954-8406,,
449,19990735,3254,1,DSL,17476,GA,
450,19990738,3257,2,ODF,98-591-47005,,
451,19990739,3258,1,DSL,16234,RF,
452,19990764,3283,1,DSL,17121,GA,
453,19990765,3284,1,DSL,17124,GA,
454,19990766,3285,2,ODF,99-521-113246,,
455,19990767,3286,2,ODF,99-521-113246,,activity_type 3 & 4
457,19990768,3287,2,ODF,99-521-11141,,
458,19990769,3288,2,ODF,99-11058,,
459,19990770,3289,2,ODF,99-11058,,
460,19990771,3290,2,ODF,98-521-11295,,
461,19990772,3291,2,ODF,98-11029,,
462,19990773,3292,2,ODF,99-11124,,
463,19990774,3293,2,ODF,99-11272,,activity_type 3 & 4
465,19990775,3294,2,ODF,98-521-11516,,
466,19990776,3295,2,ODF,98-521-11516,,activity_type 3 & 4
468,19990777,3296,2,ODF,98-521-11509,,
469,19990778,3297,2,ODF,99-521-11502,,activity_type 3 & 4
471,19990779,3298,2,ODF,99-521-11148,,
472,19990780,3299,2,ODF,99-521-11092,,
473,19990781,3300,2,ODF,99-521-11275,,
474,19990782,3301,2,ODF,99-521-11247,,
475,19990784,3303,2,ODF,99-521-11352,,activity_type 3 & 4
477,19990785,3304,2,ODF,99-521-11411,,activity_type 3 & 4
479,19990809,3328,2,ODF,99-981-88454,,
483,19990810,3329,2,ODF,99-553-37604,,activity_type 3 & 4
482,19990810,3329,2,ODF,99-553-37019,,activity_type 3 & 4
480,19990810,3329,2,ODF,99-552-30272,,activity_type 3 & 4
481,19990810,3329,2,ODF,99-553-37605,,activity_type 3 & 4
488,19990811,3330,1,DSL,18134,GA,
489,19990811,3330,2,ODF,99-553-37364,,activity_type 3 & 4
491,19990813,3332,2,ODF,99-511-15254,,
492,19990814,3333,2,ODF,99-511-15255,,
493,19990815,3334,2,ODF,99-511-15025,,
494,19990816,3335,2,ODF,98-521-11380 Renewal,,
495,19990817,3336,2,ODF,99-521-11338,,
