PROJNUM,ProjName,BasinActual,SubbasinActual,County,StartYear,CompleteYear
19970473,Shotpouch Bridge Project,Willamette,Upper Willamette,Benton,1995,1995
19970474,Willow Flat Habitat Proj.,Southern Oregon Coastal,Middle Rogue,Jackson,1994,1995
19970476,North Fork Eagle Creek Project,Willamette,Clackamas,Clackamas,1995,1995
19970481,Killiam Creek,Northern Oregon Coastal,Wilson-Trask-Nestucca,Tillamook,1995,1995
19970484,Hull Mountain Fire Rehabilitation.,Southern Oregon Coastal,Middle Rogue,Jackson,1994,1995
19970488,Spencer Cr. Road Improvement,Klamath,Upper Klamath,Klamath,1994,1995
19970489,Brownworth Road Improvement,Klamath,Sprague,Lake,1994,1995
19970490,Boulder Cr Rd Impr & Culvert Replacement,Klamath,Sprague,Klamath,1994,1995
19970492,Witworth Rd Impr & Fence Exclosure,Klamath,Sprague,Lake,1994,1995
19970493,Coyote Creek Road Impr Project,Klamath,Sprague,Lake,1995,0
19970495,Cleveland Ck Stream Enhancement Project,Northern Oregon Coastal,Siuslaw,Lane,1995,1995
19970497,Wasson Creek Boulders,Southern Oregon Coastal,Umpqua,Douglas,1995,1995
19970519,Tioga Creek Enhancement Proj.,Southern Oregon Coastal,Coos,Coos,1995,1995
19970520,Bottom Creek Log Structures,Southern Oregon Coastal,Coos,Douglas,1995,1995
19970521,Cedar Creek Active Mgt Area,Southern Oregon Coastal,Coos,Douglas,1995,1995
19970522,Bottom Creek Active Mgt Area,Southern Oregon Coastal,Coos,Douglas,1995,1995
19970523,Bottom Creek Culvert (Box Canyon Cr),Southern Oregon Coastal,Coos,Douglas,1995,1995
19970525,Willow Wattle,Willamette,McKenzie,Lane,1995,1995
19970526,Soil Guard,Willamette,McKenzie,Lane,1995,1995
19970527,Soil Guard,Willamette,McKenzie,Lane,1995,1995
19970528,Erosion Mat,Willamette,McKenzie,Lane,1995,1995
19970529,Ritchie Creek 1600,Willamette,McKenzie,Lane,1995,1995
19970531,,Willamette,Middle Fork Willamette,Lane,1995,1996
19970532,,Willamette,Coast Fork Willamette,Lane,1995,1995
19970534,Mill Creek,Willamette,McKenzie,Lane,1994,1995
19970535,,Northern Oregon Coastal,Siuslaw,Lane,1995,1995
19970536,,Northern Oregon Coastal,Siuslaw,Lane,1995,1995
19970538,Salmonberry Creek,Northern Oregon Coastal,Alsea,Benton,0,1995
19970544,Prt of Pine Prods Salvage Sale,Deschutes River Basin,Lower Crooked,Crook,1995,1995
19970545,Willow Ck Coord Resource Plan,Deschutes River Basin,Lower Deschutes,Crook,1995,1995
19970547,Gunner Lake Restoration,Northern Oregon Coastal,Nehalem,Columbia,1995,1995
19970549,15-B Passage Improvement,Southern Oregon Coastal,Coquille,Coos,1995,1995
19970550,Open Hart (Timber Harvest?),Southern Oregon Coastal,Coquille,Coos,1995,1995
19970552,Kelly Creek Structures,Southern Oregon Coastal,Coquille,Coos,1995,1995
19970553,East Bob Creek,Southern Oregon Coastal,Coquille,Coos,1995,1995
19970554,Wapiti Creek Passage Improvements,Southern Oregon Coastal,Coquille,Coos,1995,1995
19970556,Mill Creek Restoration Project,Northern Oregon Coastal,Siletz-Yaquina,Lincoln,1995,1995
19970557,S Fk Mill Ck Draft Horse Rest Project,Northern Oregon Coastal,Siletz-Yaquina,Lincoln,1995,1995
19970561,Minam Watershed Improvement Project,Lower Snake,Wallowa,Wallowa,1994,1995
19970562,Little Catherine Watershed Project,Lower Snake,Upper Grande Ronde,Union,1995,1995
19970563,Grossman Ck Watershed Imp Project,Lower Snake,Lower Grande Ronde,Wallowa,1994,1996
19970564,Minam/Mt Harris Road Imp Project,Lower Snake,Upper Grande Ronde,Union,1995,1996
19970565,Cove Creek,Northern Oregon Coastal,Alsea,Lincoln,1995,1995
19970566,Bob's Knob H.U.,Northern Oregon Coastal,Siletz-Yaquina,Lincoln,1995,1995
19970569,Baker Creek Fish Ladder,Southern Oregon Coastal,Coquille,Coos,1994,1995
19970570,Middle Fork Sixes- CAT,Southern Oregon Coastal,Sixes,Curry,1995,1995
19970571,Middle Fork Sixes- Helicopter,Southern Oregon Coastal,Sixes,Curry,1995,1995
19970572,Laughing Water Eagle Scout Project,Lower Columbia River,Lower Columbia-Sandy,Clackamas,1995,1995
19970573,North Fork Eagle Creek Project,Willamette,Clackamas,Clackamas,1995,1995
19970575,Pockets Salvage Reforestation,Southern Oregon Coastal,Umpqua,Douglas,1995,1996
19970577,Necanicum Alcove Enhancement,Northern Oregon Coastal,Necanicum,Clatsop,1995,1995
19970578,Cedar Creek Enhancement,Willamette,Yamhill,Polk,1995,0
19970581,Coon Creek Enhancement Project,Lower Columbia River,Lower Columbia,Clatsop,1995,1996
19970582,Schoolhouse Creek Culvert Replacement,Lower Columbia River,Lower Columbia,Clatsop,1995,1995
19970583,Walker Creek Bridge Replacement,Northern Oregon Coastal,Nehalem,Clatsop,1995,1995
19970584,OWHF North Coast Salmon Habitat Project,Northern Oregon Coastal,Nehalem,Clatsop,1994,1995
19970607,Hudson Creek 94,Southern Oregon Coastal,Coquille,Coos,1994,1996
19970608,Giles Creek 94,Southern Oregon Coastal,Coquille,Coos,1994,1996
19970609,Upper Nestucca River Riparian Conifer,Northern Oregon Coastal,Wilson-Trask-Nestucca,Tillamook,1994,1995
19970617,Broken Choker Timbersale,Southern Oregon Coastal,Lower Rogue,Curry,1996,0
19970620,East Lobster Creek Timber Sale,Southern Oregon Coastal,Lower Rogue,Curry,1994,1995
19970621,Lower Cougar Timber Sale,Southern Oregon Coastal,Lower Rogue,Curry,1995,1996
19970623,Wiley Creek Project,Willamette,South Santiam,Linn,1993,1995
19970624,Knowles Creek I-III,Northern Oregon Coastal,Siuslaw,Lane,1992,1995
19970625,,Lower Snake,Lower Grande Ronde,Wallowa,1995,1996
19970629,FP150 CC,Northern Oregon Coastal,Nehalem,Clatsop,1997,1997
19970630,Upper Flagpole CC,Northern Oregon Coastal,Nehalem,Clatsop,1997,1997
19970631,GR10 Salvage,Northern Oregon Coastal,Nehalem,Clatsop,1996,1997
19970632,Buchanan Cr CC,Northern Oregon Coastal,Nehalem,Clatsop,1997,1997
19970633,B300 CC,Northern Oregon Coastal,Nehalem,Clatsop,1997,1997
19970634,Quarry CC,Northern Oregon Coastal,Nehalem,Tillamook,1997,1997
19970635,,Northern Oregon Coastal,Nehalem,Clatsop,1997,1997
19970636,,Northern Oregon Coastal,Nehalem,Clatsop,1997,1997
19970637,East God's Valley Creek CC,Northern Oregon Coastal,Nehalem,Clatsop,1997,1997
19970638,Beaver Pond CC,Northern Oregon Coastal,Nehalem,Clatsop,1997,1997
19970639,FP430 CC,Northern Oregon Coastal,Nehalem,Clatsop,1997,1997
19970640,George Creek CC,Northern Oregon Coastal,Nehalem,Clatsop,1997,1997
19970641,Buchanan10 CC,Northern Oregon Coastal,Nehalem,Clatsop,1997,1997
19970642,FPML Culvert Installation and Ditching,Northern Oregon Coastal,Nehalem,Clatsop,1997,1997
19970643,FP570/GR770 CC,Northern Oregon Coastal,Nehalem,Clatsop,1997,1997
19970644,Jack Horner Bridge Installation,Northern Oregon Coastal,Nehalem,Clatsop,1997,1997
19970645,Jack Horner Drainage Culvert,Northern Oregon Coastal,Nehalem,Clatsop,1997,1997
19970646,Gods's Valley #23202,Northern Oregon Coastal,Nehalem,Tillamook,1997,1997
19970647,Clatskanie Stream Enhancement Projects 1&2,Lower Columbia River,Lower Columbia-Clatskanie,Clatsop,1997,1997
19970648,Devil's Lake Fork Cr - Lower Project,Northern Oregon Coastal,Wilson-Trask-Nestucca,Tillamook,1997,1997
19970649,Devil's Lake Fork Cr - Upper Project,Northern Oregon Coastal,Wilson-Trask-Nestucca,Tillamook,1997,1997
19970650,North Coast Stream Project,Northern Oregon Coastal,Wilson-Trask-Nestucca,Tillamook,1997,1997
19970651,North Coast Stream Project,Northern Oregon Coastal,Nehalem,Columbia,1997,1997
19970653,Johnson Creek Enhancement Project,Lower Columbia River,Lower Columbia,Clatsop,1997,1997
19970654,Upper Lewis and Clark River Enhancement Project,Lower Columbia River,Lower Columbia,Clatsop,1997,1997
19970655,Upper Lewis and Clark River Enhancement Project,Lower Columbia River,Lower Columbia,Clatsop,1997,1997
19970656,Little Bear Creek Enhancement Project,Lower Columbia River,Lower Columbia,Clatsop,1997,1997
19970657,Big Noise Creek Enhancement Project,Lower Columbia River,Lower Columbia,Clatsop,1997,1997
19970658,Floras Creek Riparian Restoration,Southern Oregon Coastal,Sixes,Curry,1995,1998
19970659,Bioengineering North,Southern Oregon Coastal,Sixes,Curry,1997,1998
19970661,Hubbard Creek Bridge,Southern Oregon Coastal,Sixes,Curry,1997,1997
19970662,Euchre Creek Rootwads,Southern Oregon Coastal,Sixes,Curry,1997,1997
19970663,Pistol River Fencing & Habitat,Southern Oregon Coastal,Chetco,Curry,1996,1997
19970665,Winchuck Package,Southern Oregon Coastal,Chetco,Curry,1996,1997
19970666,96-561-40756,Willamette,South Santiam,Linn,1997,1997
19970667,96-562-43388 Neal Creek Bridge,Willamette,South Santiam,Linn,1996,1997
19970668,96-561-40398,Willamette,South Santiam,Linn,1996,1996
19970669,96-562-43005 D-Line,Willamette,South Santiam,Linn,1995,1995
19970670,96-562-43441 Larwood B,Willamette,South Santiam,Linn,1996,1997
19970671,97-561-40004,Willamette,South Santiam,Polk,1997,1997
19970672,95-561-40696,Willamette,South Santiam,Linn,1996,1996
19970674,97-43026 F4 Baffle,Willamette,South Santiam,Linn,0,1997
19970675,97-562-43099,Willamette,South Santiam,Linn,1997,1997
19970676,97-43134,Willamette,South Santiam,Linn,1997,1997
19970677,95-43167,Willamette,South Santiam,Linn,1995,1996
19970678,95-43236 P-Line Log Culvert Replacement,Willamette,South Santiam,Linn,1995,1995
19970679,95-43034,Willamette,South Santiam,Linn,1995,1995
19970680,95-40100 So. Fork Beaver Cr Culvert Replacement,Willamette,South Santiam,Linn,1995,1995
19970681,95-43351 Hammond 500-570 Log Culverts,Willamette,South Santiam,Linn,1995,1995
19970682,95-43323 Log Culverts R4 & SPML,Willamette,South Santiam,Linn,1995,1995
19970683,95-43041 Log Culvert - Hammond Mainline,Willamette,South Santiam,Linn,1995,1995
19970684,97-43379 R500 Culvert Replacements,Willamette,South Santiam,Linn,1997,1997
19970685,97-43088 Hammond 600 Culvert Replacement,Willamette,South Santiam,Linn,1997,1997
19970686,97-43026,Willamette,South Santiam,Linn,1997,1997
19970687,97-43258 F-Line Culvert Replacements,Willamette,South Santiam,Linn,1997,1997
19970688,Keel Mtn 3A road fill decommission,Willamette,South Santiam,Linn,0,1996
19970689,97-43226,Willamette,South Santiam,Linn,1997,1997
19970690,5 Firs Bridge,Northern Oregon Coastal,Siletz-Yaquina,Lincoln,0,1996
19970691,BO Tom Pond 96-34525,Northern Oregon Coastal,Alsea,Benton,0,1997
19970692,97-37619,Northern Oregon Coastal,Alsea,Benton,0,1997
19970693,9737642,Northern Oregon Coastal,Siletz-Yaquina,Lincoln,0,1997
19970694,34682,Northern Oregon Coastal,Alsea,Benton,0,1997
19970695,97-34646,Northern Oregon Coastal,Alsea,Benton,0,1997
19970696,96-34589,Northern Oregon Coastal,Alsea,Benton,0,1997
19970697,Racks Ck Bridge 96-34333,Northern Oregon Coastal,Alsea,Lincoln,0,1996
19970698,96-34501,Northern Oregon Coastal,Alsea,Lincoln,0,1996
19970699,North Fork,Northern Oregon Coastal,Alsea,Lincoln,0,1997
19970700,"97-34449,-34450",Northern Oregon Coastal,Alsea,Benton,0,1997
19970701,95-34649 OSU Foundation R/W,Willamette,Upper Willamette,Benton,1995,1996
19970702,Deer Creek,Northern Oregon Coastal,Siletz-Yaquina,Lincoln,0,1997
19970703,Long Prairie Creek Stream Restoration Project,Northern Oregon Coastal,Siletz-Yaquina,Lincoln,1997,1997
19970704,Preacher Creek and Jasper Cr.,Northern Oregon Coastal,Alsea,Lane,1997,1997
19970705,Bull Creek,Northern Oregon Coastal,Siletz-Yaquina,Lincoln,1997,1997
19970706,Trapp Creek,Northern Oregon Coastal,Siletz-Yaquina,Lincoln,1997,1997
19970707,Sams Creek,Northern Oregon Coastal,Siletz-Yaquina,Lincoln,1997,1997
19970708,Thorton/Haxel,Northern Oregon Coastal,Siletz-Yaquina,Lincoln,1997,1997
19970709,Thorton Creek,Northern Oregon Coastal,Siletz-Yaquina,Lincoln,1997,1997
19970710,Thorton Creek,Northern Oregon Coastal,Siletz-Yaquina,Lincoln,1997,1997
19970711,Randall Creek,Northern Oregon Coastal,Siletz-Yaquina,Lincoln,1997,1997
19970712,Wolf Creek,Northern Oregon Coastal,Siletz-Yaquina,Lincoln,1997,1997
19970713,Lower Little Lobster,Northern Oregon Coastal,Alsea,Benton,1997,1997
19970714,Upper Little Lobster,Northern Oregon Coastal,Alsea,Benton,1997,1997
19970715,Elk Creek,Northern Oregon Coastal,Siletz-Yaquina,Lincoln,1997,1997
19970716,Swamp Creek Log Placement,Southern Oregon Coastal,Coquille,Coos,0,1997
19970717,Moon Creek Clusters and Weirs,Southern Oregon Coastal,Coquille,Coos,0,1997
19970718,Sandy Trib Habitat,Southern Oregon Coastal,Coquille,Coos,0,1997
19970719,Upper Rock Creek trib,Southern Oregon Coastal,Coquille,Coos,0,1997
19970720,Baker Creek Fish Ladder Repair,Southern Oregon Coastal,Coquille,Coos,0,1997
19970721,Tributary jump weir,Southern Oregon Coastal,Coquille,Coos,0,1997
19970722,Coal Creek Planting,Southern Oregon Coastal,Coquille,Coos,0,1997
19970724,Middle Sixes,Southern Oregon Coastal,Sixes,Curry,0,1995
19970725,Sugar Creek,Southern Oregon Coastal,Sixes,Curry,0,1996
19970726,Camas Creek,Southern Oregon Coastal,Coquille,Coos,0,1996
19970727,McMullen Creek Tree Planting,Southern Oregon Coastal,Coquille,Coos,0,1997
19970728,Rock 16 Interplant,Southern Oregon Coastal,Coquille,Coos,0,1997
