change_indicator,pre_review,post_review,possible_matches
0,forest grove high school,forest grove high school,{'cottage grove high school'}
0,forth ranches llc,forth ranches llc,{'courtney ranches llc'}
0,foster ranches inc,foster ranches inc,{'bloomer ranches inc'}
0,french creek ranch,french creek ranch,"{'fate creek ranch', 'fence creek ranch'}"
0,freres lumber,freres lumber,{'ferris lumber'}
0,friends of eagle creek,friends of eagle creek,"{'friends of fields creek', 'friends of fox creek'}"
0,friends of fields creek,friends of fields creek,"{'friends of eagle creek', 'friends of fox creek'}"
0,friends of fox creek,friends of fox creek,"{'friends of eagle creek', 'friends of fields creek'}"
0,froerer farms,froerer farms,{'froese farms'}
0,froese farms,froese farms,{'froerer farms'}
0,galvez orchards,galvez orchards,{'dahle orchards'}
0,garrett construction,garrett construction,"{'harper construction', 'pardue construction', 'green construction'}"
0,garrett ranch,garrett ranch,{'berrett ranch'}
0,gentry ranch,gentry ranch,"{'agency ranch', 'gray ranch'}"
0,gilliam county road department,gilliam county road department,"{'lake county road department', 'grant county road department', 'linn county road department', 'lincoln county road department', 'lane county road department', 'gilliam county weed department'}"
0,gilliam county weed department,gilliam county weed department,"{'umatilla county weed department', 'wallowa county weed department', 'gilliam county road department', 'wasco county weed department'}"
0,glaney ranches llc,glaney ranches llc,"{'glavey ranches llc', 'glavey ranches'}"
0,glendale high school,glendale high school,"{'glide high school', 'central high school'}"
0,glide high school,glide high school,"{'glide junior high school', 'glendale high school'}"
0,glide junior high school,glide junior high school,{'glide high school'}
0,gm ranch llc,gm ranch llc,"{'king ranch llc', 'iz ranch llc', 'kamph ranch llc'}"
0,golden valley farms,golden valley farms,{'golden valley farms east'}
0,goose lake watershed council,goose lake watershed council,"{'owyhee watershed council', 'mosier watershed council', 'lake county watershed council', 'lake county watershed councils'}"
0,grand oaks neighborhood association,grand oaks neighborhood association,"{'sw oaks creek neighborhood association', 'neighborhood association'}"
0,grant county road department,grant county road department,"{'malheur county road department', 'jefferson county road department', 'lake county road department', 'linn county road department', 'lincoln county road department', 'lane county road department', 'gilliam county road department'}"
0,grant county weed control,grant county weed control,"{'crook county weed control', 'klamath county weed control', 'morrow county weed control', 'umatilla county weed control', 'union county weed control', 'wallowa county weed control'}"
0,grass valley watershed council,grass valley watershed council,{'illinois valley watershed council'}
0,green construction,green construction,"{'harper construction', 'pardue construction', 'garrett construction'}"
0,h r consulting,h r consulting,"{'irz consulting', 'rabe consulting'}"
0,hadley ranch,hadley ranch,{'hall ranch'}
0,hall ranch,hall ranch,"{'hadley ranch', 'hill ranches'}"
0,hancock forest products,hancock forest products,{'lane forest products'}
0,happy valley heights homeowners association,happy valley heights homeowners association,{'valley heights home owners association'}
0,harmon family limited partnership,harmon family limited partnership,{'hardie family partnership'}
0,harney county,harney county,{'lane county'}
0,harney county cooperative weed management area,harney county cooperative weed management area,"{'josephine county cooperative weed management area', 'jackson county cooperative weed management area', 'lake county cooperative weed management area', 'juntura cooperative weed management area', 'tri county cooperative weed management area'}"
0,harney county watershed council,harney county watershed council,"{'lake county umbrella watershed council', 'sherman county area watershed council', 'lake county watershed council', 'lake county watershed councils'}"
0,harper construction,harper construction,"{'haley construction', 'garrett construction', 'hatley construction', 'pardue construction', 'green construction'}"
0,hatley construction,hatley construction,"{'haley construction', 'jal construction', 'haley construction co inc', 'harper construction', 'lemax construction', 'mowat construction'}"
0,hawkins cattle company,hawkins cattle company,"{'shaniko cattle company', 'martin cattle company', 'hotchkiss cattle company'}"
0,hayes ranch,hayes ranch,{'hess ranch'}
0,hbh consulting engineers,hbh consulting engineers,{'obec consulting engineer'}
0,helle ranches,helle ranches,{'hill ranches'}
0,helman elementary school,helman elementary school,{'misc elementary school'}
0,henry enterprises,henry enterprises,{'stien enterprises'}
0,hermiston irrigation district,hermiston irrigation district,"{'hudson bay irrigation district', 'farmers irrigation district', 'east fork irrigation district'}"
0,hess ranch,hess ranch,{'hayes ranch'}
0,hmjs tree farm,hmjs tree farm,{'j2e tree farm'}
0,hood river county,hood river county,{'hood river county parks'}
0,hood river county parks,hood river county parks,{'hood river county'}
0,hotchkiss cattle company,hotchkiss cattle company,{'hawkins cattle company'}
0,hudson bay irrigation district,hudson bay irrigation district,{'hermiston irrigation district'}
0,illinois valley watershed council,illinois valley watershed council,{'grass valley watershed council'}
0,indian creek ranch,indian creek ranch,"{'pine creek ranch', 'jordan creek ranch'}"
0,irz consulting,irz consulting,"{'h r consulting', 'rabe consulting'}"
0,izee ranch,izee ranch,"{'pierce ranch', 'iz ranch'}"
0,j bar s ranch,j bar s ranch,{'q bar x ranch'}
0,j m ranch llc,j m ranch llc,"{'l m ranch', 'jdr ranch llc'}"
0,j2e tree farm,j2e tree farm,{'hmjs tree farm'}
0,jackies butte cattle association,jackies butte cattle association,{'saddle butte cattle association'}
0,jackson county,jackson county,"{'jackson county parks', 'jackson county roads'}"
0,jackson county cooperative weed management area,jackson county cooperative weed management area,"{'josephine county cooperative weed management area', 'harney county cooperative weed management area', 'lake county cooperative weed management area', 'juntura cooperative weed management area', 'tri county cooperative weed management area'}"
0,jackson county corrections,jackson county corrections,{'marion county corrections'}
0,jackson county parks,jackson county parks,"{'jackson county roads', 'lane county parks', 'jackson county'}"
0,jackson county planning department,jackson county planning department,{'josephine county planning department'}
0,jackson county roads,jackson county roads,"{'jackson county parks', 'jackson county'}"
0,jal construction,jal construction,"{'hatley construction', 'haley construction', 'lemax construction', 'mowat construction'}"
0,jdr ranch llc,jdr ranch llc,{'j m ranch llc'}
0,jefferson county,jefferson county,{'jefferson county awb'}
0,jefferson county awb,jefferson county awb,{'jefferson county'}
0,jefferson county public works,jefferson county public works,{'marion county public works'}
0,johnson creek watershed council,johnson creek watershed council,"{'pringle creek watershed council', 'trout creek watershed council', 'salmon drift creek watershed council', 'deep creek watershed council', 'evans creek watershed council', 'ecola creek watershed council', 'floras creek watershed council', 'tryon creek watershed council', 'elk creek watershed council'}"
0,jones forest products,jones forest products,"{'menasha forest products', 'lane forest products'}"
0,jordan creek ranch,jordan creek ranch,{'indian creek ranch'}
0,jordan valley cooperative weed management area,jordan valley cooperative weed management area,"{'tri county cooperative weed management area', 'juntura cooperative weed management area'}"
0,jordan valley irrigation district,jordan valley irrigation district,"{'swalley irrigation district', 'langell valley irrigation district', 'vale oregon irrigation district'}"
0,josephine county,josephine county,{'josephine county parks'}
0,josephine county cooperative weed management area,josephine county cooperative weed management area,"{'jackson county cooperative weed management area', 'harney county cooperative weed management area', 'lake county cooperative weed management area', 'juntura cooperative weed management area', 'tri county cooperative weed management area'}"
0,josephine county planning department,josephine county planning department,"{'josephine county parks department', 'jackson county planning department'}"
0,josephine county public works,josephine county public works,"{'lane county public works', 'josephine county parks'}"
0,jrs farms inc,jrs farms inc,{'mast farms inc'}
0,juntura cooperative weed management area,juntura cooperative weed management area,"{'josephine county cooperative weed management area', 'jackson county cooperative weed management area', 'harney county cooperative weed management area', 'lake county cooperative weed management area', 'lower deschutes cooperative weed management area', 'jordan valley cooperative weed management area', 'tri county cooperative weed management area'}"
0,k c environmental services,k c environmental services,{'marion county environmental services'}
0,k diamond ranch,k diamond ranch,"{'diamond x ranch', 'damon ranch'}"
0,k swartz construction,k swartz construction,{'mowat construction'}
0,kamph ranch llc,kamph ranch llc,{'gm ranch llc'}
0,keerins ranch,keerins ranch,"{'ernst ranch', 'perkins ranch'}"
0,kennedy high school,kennedy high school,"{'sandy high school', 'mckenzie high school'}"
0,kester family farms,kester family farms,{'smith family farms'}
0,kiger ranch,kiger ranch,"{'kight ranch', 'miler ranch'}"
0,kight ranch,kight ranch,{'kiger ranch'}
0,king ranch llc,king ranch llc,"{'iz ranch llc', 'gm ranch llc'}"
0,klamath county weed control,klamath county weed control,"{'crook county weed control', 'grant county weed control', 'wallowa county weed control', 'umatilla county weed control'}"
0,klamath irrigation district,klamath irrigation district,"{'malin irrigation district', 'talent irrigation district', 'tumalo irrigation district'}"
0,kuhl ranch,kuhl ranch,{'buhler ranch'}
0,kv bar ranch,kv bar ranch,{'a k ranch'}
0,l m ranch,l m ranch,"{'j m ranch llc', 'lx ranch'}"
0,l s d logging,l s d logging,{'dtl logging'}
0,lake county,lake county,"{'polk county', 'lane county'}"
0,lake county cooperative weed management area,lake county cooperative weed management area,"{'josephine county cooperative weed management area', 'jackson county cooperative weed management area', 'harney county cooperative weed management area', 'lower deschutes cooperative weed management area', 'juntura cooperative weed management area', 'tri county cooperative weed management area'}"
0,lake county road department,lake county road department,"{'malheur county road department', 'jefferson county road department', 'coos county road department', 'grant county road department', 'linn county road department', 'lincoln county road department', 'deschutes county road department', 'lane county road department', 'gilliam county road department'}"
0,lake county school district,lake county school district,{'lincoln county school district'}
0,lane county,lane county,"{'lake county', 'harney county', 'linn county'}"
0,lane county parks,lane county parks,"{'linn county parks', 'county parks', 'jackson county parks'}"
0,lane county public works,lane county public works,"{'josephine county public works', 'marion county public works', 'lincoln county public works', 'polk county public works', 'douglas county public works'}"
0,lane county road department,lane county road department,"{'malheur county road department', 'jefferson county road department', 'coos county road department', 'lake county road department', 'grant county road department', 'linn county road department', 'lincoln county road department', 'deschutes county road department', 'gilliam county road department'}"
0,lane forest products,lane forest products,"{'hancock forest products', 'jones forest products'}"
0,langell valley irrigation district,langell valley irrigation district,"{'swalley irrigation district', 'jordan valley irrigation district'}"
0,larson drainage district,larson drainage district,"{'drainage district', 'libby drainage district'}"
0,lawrence ranches,lawrence ranches,{'lorenzen ranches'}
0,lemax construction,lemax construction,"{'hatley construction', 'mowat construction', 'haley construction', 'jal construction'}"
0,lemmon cattle co,lemmon cattle co,"{'lm cattle co', 'wilson cattle co'}"
0,libby drainage district,libby drainage district,"{'drainage district', 'larson drainage district'}"
0,limnes land company,limnes land company,{'m5 land company'}
0,lincoln city,lincoln city,{'lincoln county'}
0,lincoln county,lincoln county,"{'lincoln city', 'linn county'}"
0,lincoln county public works,lincoln county public works,"{'marion county public works', 'lane county public works', 'polk county public works'}"
0,lincoln county road department,lincoln county road department,"{'jefferson county road department', 'lake county road department', 'grant county road department', 'linn county road department', 'lane county road department', 'gilliam county road department'}"
0,lincoln county school district,lincoln county school district,{'lake county school district'}
0,lincoln swcd,lincoln swcd,{'linn swcd'}
0,linn county,linn county,"{'lane county', 'lincoln county'}"
0,linn county parks,linn county parks,"{'county parks', 'lane county parks'}"
0,linn swcd,linn swcd,{'lincoln swcd'}
0,little butte creek watershed council,little butte creek watershed council,"{'pringle creek watershed council', 'bear creek watershed council'}"
0,loop ranch llc,loop ranch llc,{'lonerock ranch llc'}
0,lorenzen ranches,lorenzen ranches,{'lawrence ranches'}
0,lower deschutes cooperative weed management area,lower deschutes cooperative weed management area,"{'lake county cooperative weed management area', 'juntura cooperative weed management area'}"
0,lower nehalem watershed council,lower nehalem watershed council,"{'upper nehalem watershed council', 'nehalem watershed council', 'lower rogue watershed council'}"
0,lower rogue watershed council,lower rogue watershed council,"{'rogue river watershed council', 'owyhee watershed council', 'lower nehalem watershed council', 'middle rogue watershed council'}"
0,lx ranch,lx ranch,{'l m ranch'}
0,madras farms,madras farms,{'mast farms'}
0,madrona stewardship,madrona stewardship,{'oregon stewardship'}
0,malheur county road department,malheur county road department,"{'jefferson county road department', 'lake county road department', 'grant county road department', 'linn county road department', 'deschutes county road department', 'lane county road department'}"
0,malheur watershed council,malheur watershed council,"{'klamath watershed council', 'silver lake watershed council', 'owyhee watershed council', 'marys river watershed council', 'mosier watershed council', 'the dalles watershed council', 'upper nehalem watershed council', 'nehalem watershed council'}"
0,malin irrigation district,malin irrigation district,"{'medford irrigation district', 'westland irrigation district', 'swalley irrigation district', 'modoc point irrigation district', 'talent irrigation district', 'peoples irrigation district', 'queener irrigation district', 'stanfield irrigation district', 'tumalo irrigation district', 'klamath irrigation district'}"
0,marion county corrections,marion county corrections,"{'curry county corrections', 'jackson county corrections'}"
0,marion county environmental services,marion county environmental services,{'k c environmental services'}
0,marion county public works,marion county public works,"{'jefferson county public works', 'lincoln county public works', 'morrow county public works', 'polk county public works', 'lane county public works'}"
0,martin cattle company,martin cattle company,{'hawkins cattle company'}
0,martin farms,martin farms,{'mast farms'}
0,martin ranch,martin ranch,"{'mattis ranch', 'morin ranch'}"
0,mattis ranch,mattis ranch,{'martin ranch'}
0,mcclaran ranch,mcclaran ranch,{'mcgarva ranch'}
0,mcd corporation,mcd corporation,{'miami corporation'}
0,mcgarva ranch,mcgarva ranch,{'mcclaran ranch'}
0,mckenzie high school,mckenzie high school,{'kennedy high school'}
0,mckenzie watershed council,mckenzie watershed council,"{'mosier watershed council', 'crooked river watershed council', 'luckiamute watershed council', 'deep creek watershed council'}"
0,mckinley elementary school,mckinley elementary school,{'misc elementary school'}
0,medford irrigation district,medford irrigation district,"{'malin irrigation district', 'queener irrigation district', 'peoples irrigation district', 'tumalo irrigation district'}"
0,menasha forest products,menasha forest products,{'jones forest products'}
0,miami corporation,miami corporation,{'mcd corporation'}
0,midcoast watersheds council,midcoast watersheds council,{'klamath watershed council'}
0,middle deschutes watershed council,middle deschutes watershed council,{'upper deschutes watershed council'}
0,middle fork willamette watershed council,middle fork willamette watershed council,{'coast fork willamette watershed council'}
0,miler ranch,miler ranch,"{'miles ranch', 'kiger ranch', 'moeller ranch'}"
0,miles ranch,miles ranch,{'miler ranch'}
0,mill creek ranch,mill creek ranch,"{'7 mile creek ranch', 'pine creek ranch'}"
0,millicoma river step association,millicoma river step association,{'coos river step association'}
0,mobley ranch,mobley ranch,"{'copley ranch', 'cole ranch'}"
0,modoc point irrigation district,modoc point irrigation district,"{'malin irrigation district', 'ochoco irrigation district'}"
0,moe brothers,moe brothers,{'moore brothers'}
0,moeller ranch,moeller ranch,{'miler ranch'}
0,mohawk watershed partnership,mohawk watershed partnership,{'klamath watershed partnership'}
0,moore brothers,moore brothers,{'moe brothers'}
0,morin ranch,morin ranch,"{'damon ranch', 'martin ranch'}"
0,morrow county,morrow county,{'morrow county parks'}
0,morrow county parks,morrow county parks,{'morrow county'}
0,morrow county public works,morrow county public works,"{'marion county public works', 'polk county public works'}"
0,morrow county weed control,morrow county weed control,"{'crook county weed control', 'grant county weed control', 'union county weed control', 'wallowa county weed control'}"
