,PROJNUM,Participants
37,19970042,"OSU Extension Service, Pringle Creek WC/ North Santiam WC, City of Salem Public Works, Mitsubishi Silicon America, Inc., City of Salem Public Works, CH2M Hill, OSU Extension Service, McNary High School, Cascade Landscape Management, Inc., Salem Downtown Rotary, Mahonia Vineyards and Nursery, Seven Oaks Native Nursery, Citizen volunteers"
38,19970043,"Giustina Resources, Brink Bros. Logging, Inc."
39,19970044,"Giustina Resources, Brink Bros. Logging, Inc."
40,19970045,"Hamlin and Sons Road Construction, Giustina Resources"
41,19970046,"Hamlin and Sons Road Construction, Giustina Resources, ODF"
42,19970047,"DSL, Private Landowner, Upper Nehalem Watershed Council, ODFW, ODF, Private Landowners (adjoining), Izaak Walton League"
43,19970053,"Nestucca Watershed Council, USFS"
44,19970055,"USFS, Nestucca Watershed Council"
45,19970072,"NRCS, SWCD, Private Landowner, Nestucca Watershed Council"
46,19970073,"SWCD, Nestucca Watershed Council, Private Landowner, NRCS"
47,19970074,"Private Landowner, NRCS, SWCD, Nestucca Watershed Council"
48,19970075,"Private Landowner, NRCS, SWCD, Nestucca Watershed Council"
49,19970076,"NRCS, SWCD, Nestucca Watershed Council, Private Landowner"
50,19970077,"NRCS, Green Diamond Resource Company, Nestucca Watershed Council, SWCD"
51,19970078,"Private Landowner, NRCS, SWCD, Nestucca Watershed Council"
52,19970079,"SWCD, Private Landowner, Nestucca Watershed Council, NRCS"
53,19970080,"SWCD, Private Landowner, Nestucca Watershed Council, NRCS"
54,19970081,"Private Landowner, NRCS, SWCD, Nestucca Watershed Council"
55,19970087,"SWCD, Nestucca Watershed Council, Private Landowner, NRCS"
56,19970088,"Private Landowner, DEQ, NRCS, Nestucca Watershed Council"
57,19970089,"ODFW, Lower Rogue Watershed Council, STEP Program, NRCS, OWEB, Private Landowner"
58,19970090,"ODOT, Boy Scouts of America, not reported, ODFW, Oregon Youth Conservation Corps, Port of Gold Beach, Private Landowner (neighbor/contributor)"
59,19970091,"ODFW, Private Landowner, Boy Scouts of America, Oregon South Coast Fishermen, ODOT, Port of Gold Beach"
60,19970092,"Oregon South Coast Fishermen, Private Landowner, ODFW"
61,19970093,"Each project participant has another record.  This record lists Multiple Funding Sources with $ that could not be separated out., City of Brookings, Oregon South Coast Fishermen, Private Landowner (neighbor/contributor), NRCS, City of Brookings, Chetco Watershed Council, NRCS, ODFW, OSU Extension Service"
62,19970094,"USFWS, MidCoast Watersheds Council, NRCS, Lincoln SWCD, Private Landowner, Community Services Consortium"
63,19970095,"Lincoln SWCD, Community Services Consortium, NRCS, USFWS, Private Landowner, MidCoast Watersheds Council"
64,19970096,"Private Landowner, NRCS, Lincoln SWCD, MidCoast Watersheds Council"
65,19970097,"Lincoln SWCD, ODFW, NRCS, Private Landowner, MidCoast Watersheds Council"
66,19970098,"Lincoln SWCD, NRCS, Private Landowner, MidCoast Watersheds Council"
67,19970099,"Lincoln SWCD, MidCoast Watersheds Council, Confederated Tribes of Siletz Indians, NRCS"
68,19970100,"ODFW, ODF, Willamette Industries, Inc."
69,19970101,"BLM, ODFW"
70,19970102,"ODFW, BLM, Other federal participant"
71,19970105,"ODFW, Other participant, Private Landowner, Oregon Wildlife Heritage Foundation, Private Landowner"
72,19970108,"Private Landowner, ODFW"
73,19970112,"USFS, NRCS, Ted Hanson Logging, ODFW, Private Landowner, NRCS, USFS, ODFW, Leisure Excavation, ODFW, ODF"
74,19970113,"Confederated Tribes of Grand Ronde, ODFW, ODFW, Private Landowner, NRCS"
75,19970123,"Vern Justin, Piling, ODFW, Zimbrick Logging, Hampton Resources, Hampton Tree Farms"
76,19970124,"Private Landowner, ODFW, Izaak Walton League, ODFW"
77,19970125,"Izaak Walton League, ODFW, Private Landowner, ODFW"
78,19970127,"Private Landowner, ODFW, Izaak Walton League, ODFW"
79,19970129,"ODFW, Vernonia Golf Course, ODFW, Izaak Walton League"
80,19970133,"Private Landowner, ODFW, ODFW, Izaak Walton League"
81,19970134,"ODFW, Private Landowner, ODFW, Izaak Walton League, Private Landowner"
82,19970136,"Izaak Walton League, ODFW, Private Landowner, ODFW"
83,19970137,"Izaak Walton League, ODFW, ODFW, Private Landowner"
84,19970138,"Izaak Walton League, ODFW, Private Landowner, ODFW"
85,19970139,"Izaak Walton League, ODFW, ODFW, Private Landowner"
86,19970142,"OWEB, Coquille Watershed Association, Private Landowner, Coquille Watershed Association"
87,19970143,"Private Landowners (multiple), Coquille Watershed Association, BLM, Coos County, OWEB, Coquille Watershed Association"
88,19970144,"Houshour, Inc., Coquille Watershed Association, Private Landowner, Coquille Watershed Association, OWEB"
89,19970145,"DEQ, Coquille Watershed Association, Coquille Watershed Association, Private Landowner, OWEB"
90,19970146,"Coquille Watershed Association, Private Landowner, Coquille Watershed Association, NEAI, Houshour, Inc., Volunteers: Inmate Crews"
91,19970237,"South Coast Watershed Council, South Coast Lumber Company, ODFW, Curry Anadromous Fishermen"
92,19970246,"Winchuck Watershed Council, NRCS, OSU Extension Service, Curry SWCD, Private Landowner"
93,19970255,"Winchuck Estates, OSU Extension Service, Private Landowner, NRCS, Winchuck Watershed Council, Curry SWCD"
94,19970257,"South Coast Watershed Council, NRCS, Curry SWCD, OSU Extension Service, Private Landowner"
95,19970397,"Each project participant has another record.  This record lists Multiple Funding Sources with $ that could not be separated out., ODFW, Private Landowner, Mike Phill Logging"
96,19970398,"Longview Fibre Co., ODFW"
97,19970399,"ODFW, ODF, Longview Fibre Co."
98,19970400,"ODFW, Longview Fibre Co."
99,19970401,Boise Cascade
100,19970402,"Boise Cascade, Trout Unlimited, BLM"
101,19970409,"Plum Creek Timber Company, ODFW, Rick Franklin Corp."
102,19970410,"Plum Creek Timber Company, OWRD, Lorin Meyer Construction"
103,19970411,"Plum Creek Timber Company, Lorin Meyer Construction"
104,19970413,"Plum Creek Timber Company, ODFW"
105,19970415,"West Coast Wire Rope, Siuslaw SWCD, Hancock Timber Resource Group, ODFW"
106,19970416,"ODFW, Willamette Industries, Inc., ODFW, Siuslaw SWCD, West Coast Wire Rope"
107,19970417,"Tumac Lumber, ODFW"
108,19970418,"ODFW, ODFW, USFWS, West Coast Wire Rope, Siuslaw SWCD, Private Landowner, USFS"
109,19970419,"Longview Fibre-Coast Tree Farm, Longview Fibre Co., ODFW, ODF"
110,19970420,"Longview Fibre-Coast Tree Farm, Longview Fibre Co., ODF, ODFW"
111,19970421,"Each project participant has another record.  This record lists Multiple Funding Sources with $ that could not be separated out., ODFW, ODFW, DEQ, Lane Co SWCD ""Fisher"" program, Trout Unlimited, USFS, Audubon Society, Lane County Road Department, MidCoast Watersheds Council, Private Landowners (multiple), ODFW, NRCS"
112,19970422,"Each project participant has another record.  This record lists Multiple Funding Sources with $ that could not be separated out., Angler Job Corps, ODFW, Boise Cascade, Oregon Parks & Recreation Department, MidCoast Watersheds Council, Lincoln SWCD, NRCS, Oregon Horse Power"
113,19970423,"Each project participant has another record.  This record lists Multiple Funding Sources with $ that could not be separated out., Private Landowner, Plum Creek Timber Company, USFWS, ODFW"
114,19970424,"NRCS, DSL, Northwest Steelheaders, Lincoln SWCD, MidCoast Watersheds Council, Private Landowner, ODFW, NRCS"
115,19970425,"ODFW, Menasha Corporation, OWEB"
116,19970426,"ODFW, Menasha Corporation, OWEB"
117,19970427,"OWEB, ODFW, Menasha Corporation"
118,19970428,"Northwest Youth Corps, OWEB, Menasha Corporation, ODFW"
119,19970429,"ODFW, Menasha Corporation, OWEB, Northwest Youth Corps"
120,19970430,"Private Landowner, OWEB, ODFW"
121,19970431,"ODF, ODFW, ODFW"
122,19970432,"ODFW, Weyerhaeuser Company, ODFW"
123,19970433,"USFS, ODFW, Oregon Parks & Recreation Department, Oregon Department of Corrections"
124,19970434,"ODFW, Private Landowner, ODFW"
125,19970436,"ODFW, Private Landowner, OWEB"
126,19970437,"ODFW, Private Landowner, OWEB"
127,19970438,"Private Landowner, OWEB, ODFW"
128,19970439,"Private Landowner, OWEB, ODFW, ODFW"
129,19970440,"ODFW, Private Landowner, OWEB"
130,19970441,"Coquille Watershed Association, ODFW, Private Landowner, OWEB"
131,19970442,"ODFW, OWEB, Private Landowner"
132,19970445,"Boise Cascade, ODFW"
133,19970447,"ODFW, Cavenham Forest Industries, Oregon Wildlife Heritage Foundation, ODFW"
134,19970448,"Cavenham Forest Industries, Oregon Wildlife Heritage Foundation, ODFW, ODFW"
135,19970449,"Green Diamond Resource Company, Oregon Wildlife Heritage Foundation, ODFW"
136,19970450,"ODFW, Tumac Lumber"
137,19970452,"Other participant, Longview Fibre Co., Oregon Wildlife Heritage Foundation, ODFW"
138,19970453,"ODFW, Cavenham Forest Industries, Oregon Wildlife Heritage Foundation, ODFW"
139,19970454,"Cavenham Forest Industries, ODFW, Cavenham Forest Industries, Oregon Wildlife Heritage Foundation, ODFW"
140,19970455,"ODFW, Oregon Wildlife Heritage Foundation, Other participant, Stimson Lumber Company"
141,19970456,"ODFW, ODFW, Cavenham Forest Industries, Oregon Wildlife Heritage Foundation"
142,19970457,"Oregon Wildlife Heritage Foundation, ODFW, Boise Cascade, Other participant"
143,19970468,"ODFW, Cavenham Forest Industries, Oregon Wildlife Heritage Foundation, ODFW"
144,19970469,"Other participant, ODFW, Stimson Lumber Company, Oregon Wildlife Heritage Foundation"
145,19970470,"ODFW, Other participant, Stimson Lumber Company, Oregon Wildlife Heritage Foundation, ODFW"
146,19970471,"Contractor, Green Diamond Resource Company, Oregon Wildlife Heritage Foundation, ODFW, ODFW, USFS"
147,19970472,"ODFW, ODFW, Cavenham Forest Industries, Oregon Wildlife Heritage Foundation"
148,19970473,"Thompson Timber Co., Thompson Tree Farm, Inc., ODF"
149,19970474,"Each project participant has another record.  This record lists Multiple Funding Sources with $ that could not be separated out., ODFW, Indian Hill LLC, Trout Unlimited, USFS"
150,19970476,"ODFW, Longview Fibre Co., ODFW, ODF"
151,19970481,"ODFW, Green Diamond Resource Company, ODFW, Hampton Tree Farms"
152,19970484,"Boise Cascade, Crater High School"
153,19970488,"ODFW, Weyerhaeuser Company"
154,19970489,"Weyerhaeuser Company, ODFW"
155,19970490,"Weyerhaeuser Company, ODFW"
156,19970492,"ODFW, Cattle Leasees, Weyerhaeuser Company"
157,19970493,"Weyerhaeuser Company, ODFW"
158,19970495,"Each project participant has another record.  This record lists Multiple Funding Sources with $ that could not be separated out., Davidson Industries, Inc., ODFW"
159,19970497,"International Paper, ODFW"
160,19970519,"OWEB, Weyerhaeuser Company, Coos Watershed Association, ODFW, ODFW"
161,19970520,"OWEB, Weyerhaeuser Company, ODFW, Coos Watershed Association, ODFW"
162,19970521,"Weyerhaeuser Company, ODFW, ODFW, ODF"
163,19970522,"Weyerhaeuser Company, ODFW, ODF"
164,19970523,"OWEB, ODFW, Coos Watershed Association, Weyerhaeuser Company, ODFW"
165,19970525,Weyerhaeuser Company
166,19970526,Weyerhaeuser Company
167,19970527,Weyerhaeuser Company
168,19970528,Weyerhaeuser Company
169,19970529,"Weyerhaeuser Company, ODFW"
170,19970531,Weyerhaeuser Company
171,19970532,"Weyerhaeuser Company, ODFW"
172,19970534,"Weyerhaeuser Company, ODFW"
173,19970535,"ODFW, Hancock Timber Resource Group, JAL Construction, Hire the Fisherman Program & others, BLM, USFS"
174,19970536,"Each project participant has another record.  This record lists Multiple Funding Sources with $ that could not be separated out., USFS, Starker Forests, Inc., NRCS, USFS, ODFW"
175,19970538,"ODFW, DTL Logging, Alsea grade schools, ODFW, Starker Forests, Inc., Miller Timber Services"
176,19970544,"Ochoco Lumber Company, ODFW, Ponderosa Logging"
177,19970545,"Jefferson SWCD, Ochoco Lumber Company, Deware Blodsoe"
178,19970547,"Cavenham Forest Industries, ODFW"
179,19970549,"Menasha Corporation, ODFW"
180,19970550,"Menasha Corporation, ODFW"
181,19970552,"Menasha Corporation, ODFW"
182,19970553,"Northwest Youth Corps, Menasha Corporation, ODFW"
183,19970554,"Menasha Corporation, Northwest Youth Corps, ODFW"
184,19970556,"Each project participant has another record.  This record lists Multiple Funding Sources with $ that could not be separated out., Plum Creek Timber Company, Lincoln SWCD, ODFW, NRCS"
185,19970557,"Each project participant has another record.  This record lists Multiple Funding Sources with $ that could not be separated out., Plum Creek Timber Company, NRCS, Lincoln SWCD, ODFW"
186,19970561,"Eastern OR Agricultural Experimental Station, Boise Cascade, OWEB, ODFW"
187,19970562,"Each project participant has another record.  This record lists Multiple Funding Sources with $ that could not be separated out., OWEB, ODFW, DEQ, Boise Cascade, EPA"
188,19970563,"Boise Cascade, Eastern OR Agricultural Experimental Station, OWEB"
189,19970564,"Each project participant has another record.  This record lists Multiple Funding Sources with $ that could not be separated out., Boise Cascade, ODFW, BPA"
190,19970565,"Plum Creek Timber Company, ODFW"
191,19970566,"Warfield Limited, Plum Creek Timber Company, ODFW"
192,19970569,"Plum Creek Timber Company, ODFW"
193,19970570,"Plum Creek Timber Company, ODFW, Coos Forest Patrol"
194,19970571,"Plum Creek Timber Company, ODFW"
195,19970572,"Longview Fibre Co., ODFW, Boy Scouts of America"
196,19970573,"Longview Fibre Co., ODFW"
197,19970575,"Giustina Resources, ODFW, TTT Logging"
198,19970577,"Each project participant has another record.  This record lists Multiple Funding Sources with $ that could not be separated out., Cavenham Forest Industries, Clatsop County Sheriff's Office, Rainbow Flycatchers, ODFW"
199,19970578,"ODFW, Willamette Industries, Inc., ODFW, ODF"
200,19970581,"Agency Creek Management Co., ODFW, ODF"
201,19970582,"Agency Creek Management Co., ODFW, ODF"
202,19970583,"ODFW, Hampton Resources"
203,19970584,"ODFW, Tumac Lumber"
204,19970607,"OWEB, Oregon Department of Corrections, Menasha Corporation, Coquille Watershed Association, ODFW"
205,19970608,"OWEB, ODFW, Menasha Corporation, Oregon Department of Corrections"
206,19970609,"Each project participant has another record.  This record lists Multiple Funding Sources with $ that could not be separated out., BLM, Other federal participant, ODFW, BLM, Green Diamond Resource Company"
207,19970617,"ODFW, The Campbell Group, Hancock Timber Resource Group"
208,19970620,"ODFW, The Campbell Group, Hancock Timber Resource Group"
209,19970621,"ODFW, The Campbell Group, Hancock Timber Resource Group"
210,19970623,"Each project participant has another record.  This record lists Multiple Funding Sources with $ that could not be separated out., Northwest Steelheaders, ODFW, Hancock Timber Resource Group"
211,19970624,"Each project participant has another record.  This record lists Multiple Funding Sources with $ that could not be separated out., ODFW, Pacific Rivers Council, USFS, Hancock Timber Resource Group, The Campbell Group"
212,19970625,"Boise Cascade, OWEB, Eastern OR Agricultural Experimental Station, ODFW"
213,19970629,"Longview Fibre Co., Gustafson Logging, Inc."
214,19970630,"Gustafson Logging, Inc., Longview Fibre Co."
215,19970631,"Longview Fibre Co., Quality Timber Cutting"
216,19970632,"Longview Fibre Co., Quality Timber Cutting"
217,19970633,"Longview Fibre Co., Quality Timber Cutting"
218,19970634,"Grasseth & Sons Logging, Longview Fibre Co."
219,19970635,"Longview Fibre Co., Lalone Reforestation Inc."
220,19970636,"Lalone Reforestation Inc., Longview Fibre Co."
221,19970637,Longview Fibre Co.
222,19970638,Longview Fibre Co.
223,19970639,Longview Fibre Co.
224,19970640,Longview Fibre Co.
225,19970641,Longview Fibre Co.
226,19970642,"Bair Logging Co., Longview Fibre Co."
227,19970643,Longview Fibre Co.
228,19970644,"Euchre Mtn Construction, Longview Fibre Co."
229,19970645,"Longview Fibre Co., Bair Logging Co."
230,19970646,"ODFW, Longview Fibre Co., Euchre Mtn Construction"
231,19970647,"ODFW, Longview Fibre Co."
232,19970648,"ODFW, ODF, Oregon Wildlife Heritage Foundation"
233,19970649,"Oregon Wildlife Heritage Foundation, ODFW, ODF"
234,19970650,"ODFW, ODF, Oregon Wildlife Heritage Foundation"
235,19970651,"ODFW, ODF, Oregon Wildlife Heritage Foundation"
236,19970653,"Willamette Industries, Inc., ODFW"
237,19970654,"ODFW, Willamette Industries, Inc."
238,19970655,"ODFW, Willamette Industries, Inc."
239,19970656,"ODFW, Willamette Industries, Inc."
240,19970657,"BPA, ODFW, ODF"
241,19970658,"Curry SWCD, Floras Creek Watershed Council, NRCS, OSU Extension Service, South Coast Watershed Council, Private Landowners (multiple)"
242,19970659,"South Coast Watershed Council, Private Landowner, NRCS, ODFW, OSU Extension Service, OWEB, OEDD, Curry SWCD"
243,19970661,"Each project participant has another record.  This record lists Multiple Funding Sources with $ that could not be separated out., ODFW, OSU Extension Service, USFWS, Private Landowners (multiple), South Coast Watershed Council"
244,19970662,"OSU Extension Service, Private Landowners (multiple), USFWS, Curry SWCD, ODFW, South Coast Watershed Council"
245,19970663,"Oregon Parks & Recreation Department, Curry SWCD, OSU Extension Service, ODFW, USFWS, NRCS, South Coast Watershed Council, Private Landowner"
246,19970665,"Private Landowner, USFWS, South Coast Watershed Council, Oregon Parks & Recreation Department"
247,19970666,"Willamette Industries, Inc., ODF"
248,19970667,"Willamette Industries, Inc., ODF"
249,19970668,"Willamette Industries, Inc., ODF"
250,19970669,"ODF, Willamette Industries, Inc."
251,19970670,"Willamette Industries, Inc., ODF"
252,19970671,"Willamette Industries, Inc., ODF"
253,19970672,"Willamette Industries, Inc., ODF"
254,19970674,"ODF, Willamette Industries, Inc."
255,19970675,"Willamette Industries, Inc., ODF"
256,19970676,"Willamette Industries, Inc., ODF, ODFW"
257,19970677,"Willamette Industries, Inc., ODF"
258,19970678,"ODF, Willamette Industries, Inc."
259,19970679,"Willamette Industries, Inc., ODF"
260,19970680,"Willamette Industries, Inc., ODF"
261,19970681,"Willamette Industries, Inc., ODF"
262,19970682,"Willamette Industries, Inc., ODF"
263,19970683,"BLM, Willamette Industries, Inc."
264,19970684,"Willamette Industries, Inc., ODF"
265,19970685,"Willamette Industries, Inc., ODF"
266,19970686,"Willamette Industries, Inc., ODF"
267,19970687,"Willamette Industries, Inc., ODF"
268,19970688,"ODF, Willamette Industries, Inc."
269,19970689,"Willamette Industries, Inc., ODF, ODFW"
270,19970690,"Willamette Industries, Inc."
271,19970691,"Willamette Industries, Inc."
272,19970692,"Willamette Industries, Inc."
273,19970693,"Willamette Industries, Inc."
274,19970694,"Willamette Industries, Inc."
275,19970695,"Willamette Industries, Inc."
276,19970696,"Willamette Industries, Inc."
277,19970697,"Willamette Industries, Inc."
278,19970698,"Willamette Industries, Inc."
279,19970699,"Willamette Industries, Inc."
280,19970700,"Willamette Industries, Inc."
281,19970701,"Willamette Industries, Inc."
282,19970702,"Willamette Industries, Inc., Plum Creek Timber Company"
283,19970703,"ODFW, ODF, Oregon Wildlife Heritage Foundation"
284,19970704,"USFWS, ODFW, Private Landowner, OEDD, Oregon Wildlife Heritage Foundation"
285,19970705,"ODFW, Oregon Wildlife Heritage Foundation, Green Diamond Resource Company"
286,19970706,"ODFW, Green Diamond Resource Company, Oregon Wildlife Heritage Foundation"
287,19970707,"ODFW, Green Diamond Resource Company, Columbia Helicopters, Oregon Wildlife Heritage Foundation, Hampton Lumber"
288,19970708,"ODFW, Private Landowner, Oregon Wildlife Heritage Foundation"
289,19970709,"Willamette Industries, Inc., Oregon Wildlife Heritage Foundation, ODFW"
290,19970710,"ODFW, Green Diamond Resource Company, Oregon Wildlife Heritage Foundation"
291,19970711,"Oregon Wildlife Heritage Foundation, Rick Franklin Corp., Starker Forests, Inc., ODFW"
292,19970712,"Starker Forests, Inc., Oregon Wildlife Heritage Foundation, Rick Franklin Corp., Contractor, ODFW"
293,19970713,"Oregon Wildlife Heritage Foundation, ODFW, Willamette Industries, Inc."
294,19970714,"Oregon Wildlife Heritage Foundation, Willamette Industries, Inc., ODFW"
295,19970715,"Plum Creek Timber Company, Total Tree Logging, Inc."
296,19970716,Plum Creek Timber Company
297,19970717,"ODFW, Plum Creek Timber Company"
298,19970718,Plum Creek Timber Company
299,19970719,Plum Creek Timber Company
300,19970720,"Plum Creek Timber Company, South Coast Contractors"
301,19970721,Plum Creek Timber Company
302,19970722,Plum Creek Timber Company
303,19970724,Plum Creek Timber Company
304,19970725,Plum Creek Timber Company
305,19970726,"ODFW, Plum Creek Timber Company"
306,19970727,Plum Creek Timber Company
307,19970728,Plum Creek Timber Company
308,19970729,Plum Creek Timber Company
309,19970730,Plum Creek Timber Company
310,19970731,Plum Creek Timber Company
311,19970732,Plum Creek Timber Company
312,19970733,Plum Creek Timber Company
313,19970734,Plum Creek Timber Company
314,19970735,Plum Creek Timber Company
315,19970736,Plum Creek Timber Company
316,19970737,Plum Creek Timber Company
317,19970738,Plum Creek Timber Company
318,19970739,Plum Creek Timber Company
319,19970740,Plum Creek Timber Company
320,19970741,Plum Creek Timber Company
321,19970742,Plum Creek Timber Company
322,19970743,Plum Creek Timber Company
323,19970744,Plum Creek Timber Company
324,19970745,Plum Creek Timber Company
325,19970746,Plum Creek Timber Company
326,19970747,Plum Creek Timber Company
327,19970748,Plum Creek Timber Company
328,19970749,Plum Creek Timber Company
329,19970750,Plum Creek Timber Company
330,19970751,Plum Creek Timber Company
331,19970752,Plum Creek Timber Company
332,19970753,Plum Creek Timber Company
333,19970754,Plum Creek Timber Company
334,19970755,Plum Creek Timber Company
335,19970756,Plum Creek Timber Company
336,19970757,Plum Creek Timber Company
337,19970758,Plum Creek Timber Company
338,19970759,Plum Creek Timber Company
339,19970760,"ODF, Plum Creek Timber Company"
340,19970762,Plum Creek Timber Company
341,19970763,Plum Creek Timber Company
342,19970764,Plum Creek Timber Company
343,19970765,Plum Creek Timber Company
344,19970766,Plum Creek Timber Company
345,19970767,Plum Creek Timber Company
346,19970768,Plum Creek Timber Company
347,19970769,Plum Creek Timber Company
348,19970770,Plum Creek Timber Company
349,19970771,Plum Creek Timber Company
350,19970772,Plum Creek Timber Company
351,19970773,Plum Creek Timber Company
352,19970774,Plum Creek Timber Company
353,19970775,Plum Creek Timber Company
354,19970776,Plum Creek Timber Company
355,19970777,Plum Creek Timber Company
356,19970778,Plum Creek Timber Company
357,19970779,Plum Creek Timber Company
358,19970780,Plum Creek Timber Company
359,19970781,Plum Creek Timber Company
360,19970782,Plum Creek Timber Company
361,19970783,Plum Creek Timber Company
362,19970784,Plum Creek Timber Company
363,19970785,Plum Creek Timber Company
364,19970786,Plum Creek Timber Company
365,19970787,Plum Creek Timber Company
366,19970788,Plum Creek Timber Company
367,19970789,Plum Creek Timber Company
368,19970790,Plum Creek Timber Company
369,19970791,Plum Creek Timber Company
370,19970792,Plum Creek Timber Company
371,19970793,Plum Creek Timber Company
372,19970794,Plum Creek Timber Company
373,19970795,Plum Creek Timber Company
374,19970796,Plum Creek Timber Company
375,19970797,Plum Creek Timber Company
376,19970798,Plum Creek Timber Company
377,19970799,Plum Creek Timber Company
378,19970800,Plum Creek Timber Company
379,19970801,Plum Creek Timber Company
380,19970802,Plum Creek Timber Company
381,19970803,Plum Creek Timber Company
382,19970804,Plum Creek Timber Company
383,19970805,Plum Creek Timber Company
384,19970806,Plum Creek Timber Company
385,19970807,Plum Creek Timber Company
386,19970809,Plum Creek Timber Company
387,19970810,Plum Creek Timber Company
388,19970811,Plum Creek Timber Company
389,19970812,Plum Creek Timber Company
390,19970813,Plum Creek Timber Company
391,19970814,Plum Creek Timber Company
392,19970815,Plum Creek Timber Company
393,19970816,Plum Creek Timber Company
394,19970817,Plum Creek Timber Company
395,19970818,Plum Creek Timber Company
396,19970819,Boise Cascade
397,19970820,Boise Cascade
398,19970821,Boise Cascade
399,19970822,Boise Cascade
400,19970823,Boise Cascade
401,19970824,Boise Cascade
402,19970825,Boise Cascade
403,19970826,Boise Cascade
404,19970827,Boise Cascade
405,19970828,Boise Cascade
406,19970829,Boise Cascade
407,19970830,Boise Cascade
408,19970831,Boise Cascade
409,19970832,Boise Cascade
410,19970833,Boise Cascade
411,19970834,Boise Cascade
412,19970835,Boise Cascade
413,19970836,Boise Cascade
414,19970837,Boise Cascade
415,19970838,Boise Cascade
416,19970839,Boise Cascade
417,19970840,Boise Cascade
418,19970841,Boise Cascade
419,19970842,Boise Cascade
420,19970843,Boise Cascade
421,19970844,Boise Cascade
422,19970845,"Willamette Industries, Inc."
423,19970846,"Willamette Industries, Inc."
424,19970847,"Willamette Industries, Inc."
425,19970848,"Willamette Industries, Inc."
426,19970849,"Willamette Industries, Inc."
427,19970850,"Willamette Industries, Inc."
428,19970851,"Willamette Industries, Inc."
